Agency,Recipient,Description,Date,SAVED
USAID,F R B FUNDACION ANTONIO RESTREPO BARCO,"GDA ACTIVITY FOR THE IMPLEMENTATION OF ACTIVITY: ""SAFE STEPS"" TO BRING...",3/1/2025,134000.18
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNITED NATIONS CHILDREN'S FUND,No description available,3/23/2025,133641.0
DEPARTMENT OF STATE,OFFICE OF SPONSORED RESEARCH,RAISE YOUR VOICE: EMPOWERING JORDANIAN AND AMERICAN STUDENT VOICES THR...,2/26/2025,133576.0
DEPARTMENT OF STATE,GLOBAL YOUTH LEADERSHIP CENTER INC.,No description available,2/26/2025,133540.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,BOSTON MEDICAL CENTER,No description available,3/23/2025,133367.0
DEPARTMENT OF AGRICULTURE,Igiugig Village,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,132881.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,132845.0
DEPARTMENT OF STATE,UNIVERSITY OF MONTANA,No description available,2/26/2025,132707.58
INTERNATIONAL ASSISTANCE PROGRAMS,"Accion Callejera- Fundación Educativa, INC",No description available,3/4/2025,132700.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIV NEW YORK MORNINGSIDE,No description available,3/10/2025,132524.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Alpasamay,No description available,3/4/2025,132500.0
INTERNATIONAL ASSISTANCE PROGRAMS,FEDERAÇÃO DAS ORGANIZAÇÕES INDÍGENAS DO RIO NEGRO,No description available,3/4/2025,132405.0
DEPARTMENT OF STATE,Entrepreneur Azat Seyitmuhammedov,"EQUIP APPROXIMATELY 30 EARLY-CAREER JOURNALISTS, MEDIA PROFESSIONALS, ...",2/26/2025,132380.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,132347.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION INC,No description available,2/26/2025,131250.0
HOUSING AND URBAN DEVELOPMENT,HomeBase Center for Common Concerns,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,131182.0
HOUSING AND URBAN DEVELOPMENT,Collaborative Solutions Inc,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,131098.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion de Desarrollo Agropecuario Familiar Guel,No description available,3/4/2025,131000.0
HOUSING AND URBAN DEVELOPMENT,"Montana Fair Housing, Inc.",PURPOSE: TO ASSIST PRIVATE NON-PROFIT FAIR HOUSING ENFORCEMENT ORGANIZ...,2/27/2025,130971.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,130810.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,L.SAKVARELIDZE NATL CTR FOR DISEASE CNTRL & PUBLIC HLTH,No description available,3/23/2025,130180.0
DEPARTMENT OF STATE,MERIDIAN INTERNATIONAL CENTER,No description available,2/26/2025,130000.0
HOUSING AND URBAN DEVELOPMENT,CSA San Diego County,PURPOSE: CSA IS SEEKING CDC FUNDS TO ENHANCE THE AGENCY'S CAPABILITIES...,2/27/2025,130000.0
INTERNATIONAL ASSISTANCE PROGRAMS,ORGANISATION BOMBARDOPOLITAINE A LA RECHERCHE DU DEVELOPPEMENT,No description available,3/4/2025,129640.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,THE INFECTIOUS DISEASES INSTITUTE LIMITED,No description available,3/23/2025,129513.0
DEPARTMENT OF STATE,INTERNATIONAL BUDGET PARTNERSHIP-SBA SMALL 7A TERM,DEVELOP AND DISSEMINATE THE FISCAL TRANSPARENCY FOR DEVELOPMENT ONLINE...,2/26/2025,129440.0
HOUSING AND URBAN DEVELOPMENT,Cloudburst Consulting Group,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,129419.0
INTERNATIONAL ASSISTANCE PROGRAMS,CENTRO DE FORMACION Y CAPACITACION PARA LA PARTICIPACION CIUDADANA,No description available,3/4/2025,129044.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,128938.0
INTERNATIONAL ASSISTANCE PROGRAMS,Grupo de Monitoreo Independiente de El Salvador,No description available,3/4/2025,128721.0
DEPARTMENT OF STATE,AGA KHAN FOUNDATION USA,No description available,2/26/2025,128671.69
USAID,COOPERATIVA COLANTA,THE ACTIVITY SEEKS TO SIGNIFICANTLY IMPROVE THE COMPETITIVENESS OF THE...,3/1/2025,128526.0
DEPARTMENT OF STATE,Francisco Toledo A.C.,No description available,2/26/2025,128483.0
DEPARTMENT OF STATE,INTERNATIONAL REPUBLICAN INSTITUTE,No description available,2/26/2025,128445.9
HOUSING AND URBAN DEVELOPMENT,Local Initiatives Support Corp,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,128315.0
DEPARTMENT OF STATE,UNIVERSITY OF HAIFA,No description available,2/26/2025,128097.0
DEPARTMENT OF STATE,UNITED NATIONS ENVIRONMENT PROGRAMME,No description available,2/26/2025,128086.13
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NYS Office of Mental Health,No description available,3/23/2025,128060.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SAN FRANCISCO UNIFIED SCHOOL DISTRICT,No description available,3/23/2025,128049.0
DEPARTMENT OF STATE,BOARD OF REGENTS OF THE NEVADA SYSTEM OF HIGHER ED,No description available,2/26/2025,127835.07
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Equipo de Estudios Comunitarios y Accion Psicosocial,No description available,3/4/2025,127795.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NATIONAL HEALTH LABORATORY SERVICE,No description available,3/23/2025,127743.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AK ST DHSS,No description available,3/23/2025,127652.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,EMORY UNIVERSITY,No description available,3/23/2025,127333.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,African Field Epidemology Network Limited AFENET -CDC,No description available,3/23/2025,127322.0
DEPARTMENT OF STATE,TLV - TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,No description available,2/26/2025,127294.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF MARYLAND,No description available,3/23/2025,127165.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,INSTITUTO NACIONAL DE SALUD,No description available,3/23/2025,126515.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COMMONWEALTH OF THE NORTHERN MARIANA ISLANDS,No description available,3/23/2025,126319.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ILLINOIS DEPT OF HUMAN SERVICES,No description available,3/23/2025,126262.0
DEPARTMENT OF STATE,HATCH WORKS PVT LTD,No description available,2/26/2025,126253.99
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AK ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,No description available,3/23/2025,125812.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,IA ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,125744.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE,No description available,3/23/2025,125687.0
USAID,KARNATAKA HEALTH PROMOTION TRUST,¿BREAKING THE BARRIERS¿ COMMUNITY ENGAGEMENT TO ACCELERATE TB ELIMINAT...,3/1/2025,125623.0
INTERNATIONAL ASSISTANCE PROGRAMS,Actions Concertées pour le Développement Intégré des Baradères,No description available,3/4/2025,125390.0
DEPARTMENT OF AGRICULTURE,Tolowa Dee-ni’ Nation,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,-,125144.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,125114.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/15/2025,125114.0
DEPARTMENT OF STATE,COALESCION,GUIDE WB6 PARTNERS THROUGH THE DEVELOPMENT AND IMPLEMENTATION OF ACTIV...,2/26/2025,125069.05
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ND ST DEPT OF HUMAN SVCS,No description available,3/23/2025,125050.0
DEPARTMENT OF STATE,EQUAL ACCESS INTERNATIONAL,No description available,2/26/2025,125028.0
DEPARTMENT OF STATE,Centrum Edukacji Obywatelskiej Polska-Bialorus,No description available,2/26/2025,125000.0
DEPARTMENT OF STATE,Women in Sport Aotearoa Inc.,TO DELIVER A SPORTS MENTORSHIP PROGRAM FOR 14-20 EMERGING YOUNG PACIFI...,2/26/2025,125000.0
DEPARTMENT OF STATE,UMAM D&R GGMBH,"PHYSICAL CONSERVATION, INVENTORY, AND DOCUMENTATION OF WRITTEN AND AUD...",2/26/2025,125000.0
HOUSING AND URBAN DEVELOPMENT,"Housing Opportunities Project for Excellence (HOPE), Inc.",PURPOSE: THE PROPOSED PROJECT REPRESENTS THE CONTINUATION OF A STATEWI...,2/27/2025,125000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",No description available,3/23/2025,125000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",No description available,3/23/2025,125000.0
DEPARTMENT OF STATE,EDUCATION FOR EMPLOYMENT,EDUCATION FOR EMPLOYMENT-US (EFE-US) PROPOSES THE STARTECH CLIMATE ACT...,2/26/2025,124999.92
HOUSING AND URBAN DEVELOPMENT,Disability Rights Texas,"PURPOSE: PURPOSE IN TEXAS, PARTICULARLY IN RURAL AREAS, THERE IS INSUF...",2/27/2025,124988.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ND ST DEPT OF HUMAN SVCS,No description available,3/23/2025,124898.0
DEPARTMENT OF STATE,Udruzenje gradjana Nesto vise,INCREASING THE EMPLOYABILITY OF PEOPLE WITH DISABILITIES THROUGH CYBER...,2/26/2025,124890.0
DEPARTMENT OF STATE,BEN-GURION UNIVERSITY OF THE NEGEV,No description available,2/26/2025,124763.85
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PUBLIC HEALTH FOUNDATION (THE),No description available,3/23/2025,124699.0
DEPARTMENT OF STATE,AMERICAN RESEARCH CENTER IN EGYPT,No description available,2/26/2025,124653.56
DEPARTMENT OF STATE,Fundacja Solidarnosci Miedzynarodowej (Solidarity Fund PL),No description available,2/26/2025,124340.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/15/2025,124196.0
DEPARTMENT OF STATE,CENTER FOR INTERNATIONAL PRIVATE ENTERPRISE,No description available,2/26/2025,124025.65
DEPARTMENT OF STATE,Kosovo Law Institute (KLI),THIS PROJECT AIMS TO INCREASE CITIZEN DEMAND FOR JUSTICE AND IMPROVE L...,2/26/2025,123811.51
DEPARTMENT OF STATE,Charities Aid Foundation Southern Africa,No description available,2/26/2025,123724.31
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ND ST DEPT OF HUMAN SVCS,No description available,3/23/2025,123548.0
DEPARTMENT OF STATE,Tarmeem Center for The Preservation of Heritage,CONSERVATION OF THE 8TH CENTURY UMAYYAD QASR ALMSHATTA MSHATTA PALACE ...,2/26/2025,123500.0
HOUSING AND URBAN DEVELOPMENT,Cloudburst Consulting Group,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,123201.0
DEPARTMENT OF STATE,NGO AKTIV,THE OVERRIDING OBJECTIVE OF THE PROJECT IS TO ENHANCE THE DEPTH AND QU...,2/26/2025,122842.8
DEPARTMENT OF HEALTH AND HUMAN SERVICES,THE CHEROKEE NATION,No description available,3/23/2025,122833.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Yerbabuena,No description available,3/4/2025,122684.0
DEPARTMENT OF STATE,BALKANSKA ISTRAZIVACKA MREZA-CRNA GORA,"THIS PROJECT AIMS TO BRIDGE THE GAP BETWEEN CITIZENS, CSOS, JOURNALIST...",2/26/2025,122128.81
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/15/2025,122128.61
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DENVER HEALTH AND HOSPITAL AUTHORITY,No description available,3/23/2025,121992.95
INTERNATIONAL ASSISTANCE PROGRAMS,"Escuela de Integración, Formación deportiva, Expresión Artística y Desarrollo Laboral",No description available,3/4/2025,121750.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Foundation Cristosal, Inc",No description available,3/4/2025,121750.0
DEPARTMENT OF STATE,Consortium for Enhancement of Ukrainian Management Education,No description available,2/26/2025,121664.65
DEPARTMENT OF STATE,WORLD LEARNING INC,No description available,2/26/2025,121432.25
DEPARTMENT OF STATE,Arab Center for Alternative Planning,ADVANCE DIVERSITY AND INCLUSION WITHIN MIXED CITIES AND PROVIDE NEEDED...,2/26/2025,121400.0
INTERNATIONAL ASSISTANCE PROGRAMS,South East Cockpit Country Local Forest Management Committee Benevolent Society,No description available,3/4/2025,121240.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"UNIVERSITY OF PITTSBURGH, THE",No description available,3/23/2025,121057.0
DEPARTMENT OF STATE,Fundacao Moreira Chonguica,SUPPORT LOCAL MUSICIANS TO CREATE AND PERFORM SONGS THAT CONVEY MESSAG...,2/26/2025,120899.9
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/15/2025,120763.0
INTERNATIONAL ASSISTANCE PROGRAMS,Caribbean Natural Resources Institute,No description available,3/4/2025,120615.0
DEPARTMENT OF STATE,ASSOCIATION VILLAGEOIS 2.0,ASSOCIATION VILLAGEOIS 2.0 WILL ORGANIZE A TECHCAMP TO COMBAT DISINFOR...,2/26/2025,120000.0
DEPARTMENT OF STATE,WENAKLABS,"THE AUGMENTED CITIZENSHIP, DEMOCRACY AND INCLUSION (CADI) PROJECT SEEK...",2/26/2025,120000.0
DEPARTMENT OF STATE,JAMES MADISON UNIVERSITY,No description available,2/26/2025,119905.74
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,119605.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DC DEPARTMENT OF HEALTH CARE FINANCE,No description available,3/23/2025,118991.0
DEPARTMENT OF STATE,INTERNATIONAL CENTER FOR JOURNALISTS INC,THE TWO-PART TRAINING WILL HELP EMPOWER PAKISTANI WOMEN JOURNALISTS OV...,2/26/2025,118871.39
DEPARTMENT OF STATE,UNIVERSITY OF SOUTH CAROLINA,No description available,2/26/2025,118449.34
DEPARTMENT OF DEFENSE,GAINING RESEARCH EXPERIENCE IN AFRI,SAIL FOR MANGROVES IN THE GAMBIA,3/23/2025,118275.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",No description available,3/23/2025,118008.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Comité de Rescate de Cuencas de La Libertad,No description available,3/4/2025,117964.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,BAYLOR RESEARCH INSTITUTE,No description available,3/23/2025,117721.0
HOUSING AND URBAN DEVELOPMENT,Cloudburst Consulting Group,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,117510.0
DEPARTMENT OF STATE,Ukrainer,No description available,2/26/2025,117405.5
HOUSING AND URBAN DEVELOPMENT,Cloudburst Consulting Group,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,116974.0
DEPARTMENT OF STATE,EDGE EFFECT COLLABORATIONS PTY LTD,No description available,2/26/2025,116950.38
DEPARTMENT OF STATE,Organizacao das Mulheres de Cabo Verde (OMCV),No description available,2/26/2025,116662.16
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/15/2025,116653.09
DEPARTMENT OF STATE,MIDDLE EAST INSTITUTE,TO FORTIFY THE BILATERAL RELATIONSHIP BETWEEN THE U.S. AND LEBANON BY ...,2/26/2025,116518.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,116480.0
DEPARTMENT OF STATE,THE HENRY L STIMSON CENTER,No description available,2/26/2025,116436.29
INTERNATIONAL ASSISTANCE PROGRAMS,Cooperativa del Sur del Cauca,No description available,3/4/2025,116247.0
INTERNATIONAL ASSISTANCE PROGRAMS,CORPORACION SIPAZ,No description available,3/4/2025,116081.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,115971.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,115696.0
INTERNATIONAL ASSISTANCE PROGRAMS,Treasure Beach Women's Group Benevolent Society,No description available,3/4/2025,115670.0
DEPARTMENT OF STATE,LEPL Information Center on NATO and EU,No description available,2/26/2025,115000.0
DEPARTMENT OF STATE,The Institute for National Security Studies,TO IDENTIFY AND ADDRESS MAIN THREATS TO U.S.-ISRAEL RELATIONS BY CONVE...,2/26/2025,115000.0
USAID,CREATIVE CENTRE FOR COMMUNITY MOBILISATION,MILIMO LOCAL CAPACITY BUILDING ACTIVITY,3/1/2025,115000.0
DEPARTMENT OF AGRICULTURE,Fort Peck Assiniboine & Sioux Tribe,No description available,3/17/2025,114641.0
DEPARTMENT OF STATE,GUILFORD COLLEGE,DEVELOP A VIRTUAL INCUBATOR TO PROVIDE ENTREPRENEURIAL DEVELOPMENT TRA...,2/26/2025,114550.5
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION CENTRO ARAKUAARENDA,No description available,3/4/2025,114500.0
INTERNATIONAL ASSISTANCE PROGRAMS,REDE COMUÁ,No description available,3/4/2025,114450.0
DEPARTMENT OF STATE,Habibi Valtiberina Association,THIS PROJECT AIMS TO ENHANCE THE EMPLOYABILITY OF 60 VULNERABLE JORDAN...,2/26/2025,114443.2
INTERNATIONAL ASSISTANCE PROGRAMS,Corporacion Colombia Joven,No description available,3/4/2025,114408.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DISTRICT COLUMBIA GOVERNMENT,No description available,3/23/2025,114286.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PA ST DEPARTMENT OF PUBLIC WELFARE,No description available,3/23/2025,114096.0
INTERNATIONAL ASSISTANCE PROGRAMS,Comunidad y Biodiversidad A.C.,No description available,3/4/2025,114089.0
HOUSING AND URBAN DEVELOPMENT,Local Initiatives Support Corp,INDIAN HOUSING BLOCK GRANTS,2/26/2025,114054.0
INTERNATIONAL ASSISTANCE PROGRAMS,Consejo de Cuenca Rio Goascoran,No description available,3/4/2025,114015.0
INTERNATIONAL ASSISTANCE PROGRAMS,INSTITUTO DE MEDIO AMBIENTE Y GÉNERO PARA EL DESARROLLO,No description available,3/4/2025,113955.0
DEPARTMENT OF STATE,SYNERGIA-INITIATIVES FOR,No description available,2/26/2025,113649.87
HOUSING AND URBAN DEVELOPMENT,Collaborative Solutions Inc,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,113556.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF TEXAS AT AUSTIN,No description available,3/23/2025,113515.0
INTERNATIONAL ASSISTANCE PROGRAMS,Artesanos Asociados Sumac Pallay Sibayo,No description available,3/4/2025,113345.0
DEPARTMENT OF STATE,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,"TRAIN A NEW GENERATION OF ASEAN URBAN PLANNERS, ARCHITECTS, AND ENGINE...",2/26/2025,113278.39
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VI DEPARTMENT OF HEALTH,No description available,3/23/2025,113226.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",No description available,3/23/2025,113208.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF CALIFORNIA,No description available,3/23/2025,113118.0
INTERNATIONAL ASSISTANCE PROGRAMS,ONG Asociación Protección del Medio Ambiente Tarija - PROMETA,No description available,3/4/2025,113070.0
DEPARTMENT OF STATE,FILM INDEPENDENT INC,No description available,2/26/2025,112903.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fondo Región Colonia,No description available,3/4/2025,112700.0
DEPARTMENT OF STATE,Asociacion Centro de Derecho Ambiental y de los Recursos Naturales,THIS PROJECT WILL STRENGTHEN PARTICIPATORY GOVERNANCE WITHIN THE COMMU...,2/27/2025,112696.0
INTERNATIONAL ASSISTANCE PROGRAMS,Red Común Nacional Organizada de Ciudadanos-as Dominicanos-as,No description available,3/4/2025,112600.0
DEPARTMENT OF STATE,UNIVERSITY OF WISCONSIN SYSTEM,TO ENHANCE AMERICA'S KNOWLEDGE OF THE STATES OF THE FORMER U.S.S.R. AN...,2/27/2025,112295.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"General Dept of Preventive Medicine, Ministry of Health",No description available,3/23/2025,112000.0
DEPARTMENT OF STATE,Levizja FOL,No description available,2/26/2025,111873.39
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SEATTLE CHILDREN'S HOSPITAL,No description available,3/23/2025,111597.47
DEPARTMENT OF STATE,Madanyat,TO AMPLIFY WOMEN'S POSITIVE ROLE IN CONFLICT RESOLUTION AND PEACEBUILD...,2/26/2025,111563.1
INTERNATIONAL ASSISTANCE PROGRAMS,MANQA SOSTENIBLE SOCIEDAD CIVIL,No description available,3/4/2025,110863.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,110844.0
INTERNATIONAL ASSISTANCE PROGRAMS,"MESA CONSULTIIVA, NUEVA ESPERANZA, LA CAMPA",No description available,3/4/2025,110602.0
HOUSING AND URBAN DEVELOPMENT,Cloudburst Consulting Group,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,110385.0
DEPARTMENT OF STATE,THE VANCE CENTER,BUILDING MUTUAL UNDERSTANDING AND SHARING EXPERTISE TO MOBILIZE MEMBER...,2/26/2025,110334.98
DEPARTMENT OF AGRICULTURE,Chignik Lagoon Village Council,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,110270.0
DEPARTMENT OF STATE,Qendra Albanian Center for Quality Journalism,IMPROVE ENGLISH LANGUAGE SKILLS FOR 20 ALBANIAN JOURNALISTS AND IMMERS...,2/26/2025,110000.0
USAID,ISCA,THE SPORT & DEVELOPMENT PLATFORM IS COMMITTED TO JOINTLY DEVELOPING CO...,3/1/2025,110000.0
DEPARTMENT OF STATE,Assos pour le Soutien des Detenus et Ex Detenus Tchadiens,CONTRIBUTE TO REDUCING VIOLATIONS OF HUMAN RIGHTS AND THE RIGHTS OF MI...,2/26/2025,110000.0
INTERNATIONAL ASSISTANCE PROGRAMS,Nature Power Foundation,No description available,3/4/2025,109700.0
INTERNATIONAL ASSISTANCE PROGRAMS,Centro de Desarrollo Humano,No description available,3/4/2025,109684.0
DEPARTMENT OF AGRICULTURE,Wyandotte Nation,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,-,109620.0
DEPARTMENT OF AGRICULTURE,Kalispel Indian Community of the Kalispel Reservation,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,109196.0
INTERNATIONAL ASSISTANCE PROGRAMS,Sawyers Local Forest Management Committee Benevolent Society,No description available,3/4/2025,109134.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CTR FOR INFECTIOUS DISEASE RESCH IN ZAMBIA,No description available,3/23/2025,108912.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",No description available,3/23/2025,108346.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MN ST DEPARTMENT OF HEALTH,No description available,3/23/2025,108167.0
DEPARTMENT OF STATE,Kuca ljudskih prava,"THE PROJECT TITLED "" STRENGTHENING THE RESEARCH, MONITORING, ADVOCACY ...",2/26/2025,107925.0
DEPARTMENT OF AGRICULTURE,Mechoopda Indian Tribe of Chico Rancheria,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,107829.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,107234.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Commonwealth Healthcare Corporation,No description available,3/23/2025,107187.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ASSOCIATION OF AMERICAN MEDICAL COLLEGES,No description available,3/23/2025,106978.0
INTERNATIONAL ASSISTANCE PROGRAMS,Organisation pour la Promotion de l'Agroforesterie,No description available,3/4/2025,106974.0
DEPARTMENT OF STATE,Yerevan Press Club NGO,No description available,2/26/2025,106962.9
DEPARTMENT OF STATE,CAMARA PANAMENA DE DESARROLLO SOCIAL (CAPADESO),No description available,2/26/2025,106740.94
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GU MENTAL HEALTH & SUBSTANCE ABUSE AGENCY,No description available,3/23/2025,106483.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,JOHNS HOPKINS UNIVERSITY,No description available,3/23/2025,106473.0
DEPARTMENT OF STATE,AMANI INSTITUTE,BUILDING A COHORT THAT WOULD STRENGTHEN RELATIONS BETWEEN THE U.S. EMB...,2/26/2025,106000.0
DEPARTMENT OF STATE,APPALACHIAN STATE UNIVERSITY,No description available,2/26/2025,105631.17
INTERNATIONAL ASSISTANCE PROGRAMS,Cooperativa Cafetalera Olancho Limitada,No description available,3/4/2025,105530.0
DEPARTMENT OF STATE,NATIONAL DEMOCRATIC INSTITUTE FOR INTERNATIONAL AFFAIRS,No description available,2/26/2025,105508.0
DEPARTMENT OF STATE,MIDDLE EAST INSTITUTE,"TO ENHANCE AMERICA'S KNOWLEDGE OF THE STATES OF THE FORMER U.S.S.R., A...",2/27/2025,105346.0
INTERNATIONAL ASSISTANCE PROGRAMS,ADI Reserva Indigena Cabecar Alto Chirripo,No description available,3/4/2025,105332.0
INTERNATIONAL ASSISTANCE PROGRAMS,Organismo Cristiano de Desarrollo Integral de Honduras,No description available,3/4/2025,105170.0
DEPARTMENT OF AGRICULTURE,Blue Lake Rancheria,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,105074.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIV NEW YORK MORNINGSIDE,No description available,3/10/2025,105063.0
DEPARTMENT OF STATE,Al-Quds University,No description available,2/26/2025,104874.87
