Agency,Uploaded On,Description,Saved
Department of State,2/26/2025,TO CARRY OUT TWO PROGRAMS IN THE AMERICAN CORNER NASSAU FOCUSED ON DEIA AND COUNTERING DISINFORMATION.,7775.0
Department of State,2/26/2025,"CONSTRUCT A COMMUNITY WATER SYSTEM INCLUDING A STORAGE TANK, PIPELINE AND TAPS FOR 5,800 PEOPLE OF MBANKA-WAT AND ITS ENVIRONS IN NKAMBE, IN THE NORTHWEST REGION.",3800.0
Department of State,2/26/2025,"CONSTRUCT TWO CLASSROOMS AND SCHOOL TOILETS FROM DISCARDED PLASTIC BOTTLES TO IMPROVE THE LEARNING CONDITIONS OF STUDENTS IN NGOG VILLAGE AND PROTECT THE ENVIRONMENT FROM PLASTIC POLLUTION, FOR THE BENEFIT OF 5,522 PERSONS AROUND MBALMAYO IN THE CENTER.",3800.0
Department of State,2/26/2025,ENHANCING EASY ACCESS TO PRIMARY HEALTH CARE SERVICE TO THE RESIDENCE OF THREE CLUSTER COMMUNITIES IN TUMANA.,200.0
Department of State,2/26/2025,ACCESS TO CLEAN AND PORTABLE WATER,200.0
Department of State,2/26/2025,"INCREASE THE CAPACITIES OF WOMEN IN SHEEP FATTENING PRACTICE, IN THE MARKETING OF ANIMALS, IN ACCESS TO THE MEANS OF PRODUCTION AND IN THE MANAGEMENT OF THEIR PEASANT ORGANIZATIONS.",1600.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,3500.0
Department of State,2/26/2025,"TO INSTALL A SET OF MODERN SUNFLOWER OIL PRESSING MACHINE TO GENERATE INCOME SO AS TO IMPROVE THE LIVES OF PEOPLE WITH ALBINISM IN PARAMAWE VILLAGE NKASI DISTRICT, RUKWA REGION.",1000.0
Department of State,2/26/2025,"TO ADDRESS WATER SCARCITY IN LORIEN, LAIKIPIA COUNTY, BY EXPANDING THE WATER DISTRIBUTION NETWORK TO PROVIDE RELIABLE ACCESS TO CLEAN WATER.",7500.0
Department of State,2/26/2025,"TO ENHANCE ACCESS TO SAFE DRINKING WATER IN KILIFI COUNTY, IMPROVING HEALTH AND EDUCATIONAL OUTCOMES FOR THE LOCAL COMMUNITY AND SCHOOL.",7500.0
Department of State,2/26/2025,TO PURCHASE EQUIPMENT FOR FOOD PRESERVATION,1500.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,3480.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,,1839.1
Department of State,2/26/2025,"THE PURPOSE OF AMERICAN CORNER BURGAS'S ANNUAL PROGRAMMING IS TO ADVANCE MISSION PRIORITIES ON ECONOMIC EMPOWERMENT, INCLUSION, AND PEOPLE-TO-PEOPLE ENGAGEMENT TO ENSURE BULGARIA REMAINS A STRONG, RELIABLE PARTNER OF THE UNITED STATES.",0.0
Department of State,2/26/2025,FY 2021-2022 HUMPHREY FELLOWSHIP PROGRAM IN ARGENTINA,0.0
Department of State,2/26/2025,"TO CO-FUND GEORGIAN TRANSLATION AND PUBLISHING COSTS OF THE BOOK FAMILIAR STRANGERS, THE GEORGIAN DIASPORA AND THE EVOLUTION OF THE SOVIET EMPIRE, 1ST EDITION, BY ERIK R. SCOTT THROUGH THE BOOK TRANSLATION PROGRAM.",0.0
Department of State,2/26/2025,,2800.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,2268.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,3630.0
Department of State,2/26/2025,TO CO-FUND GEORGIAN TRANSLATION AND PUBLISHING COSTS OF THE BOOK TRUST BY HERMAN DIAZ THROUGH THE BOOK TRANSLATION PROGRAM.,0.0
Department of State,2/26/2025,"FOSTER A DIALOGUE BETWEEN U.S. AND FRENCH DECISION-MAKERS, SCHOLARS, EXPERTS, MEDIA, AND STUDENTS ON TRENDS AND ISSUES IN THE UNITED STATES.",1443.0
Department of State,2/26/2025,"THE PURPOSE OF THIS AWARD IS TO COUNTER DISINFORMATION IN SLOVAKIA THROUGH CRITICAL THINKING AND MEDIA LITERACY PROGRAMMING AT THE AMERICAN CENTERS IN BANSKA BYSTRICA, KOSICE AND ZILINA.",7200.0
Department of State,2/26/2025,PROVISION OF A BOREHOLE AND RESERVOIRS FOR THE WOMEN'S COMMUNITY GARDEN,200.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,PROMOTING ECONOMIC STATUS OF WOMEN THROUGH REHABILITATION AND EXPANSION OF VEGETABLE GARDEN,200.0
Department of State,2/26/2025,COMPLETION OF TEN SCHOOL TOILETS,200.0
Department of State,2/26/2025,INVITE AND WELCOME U.S. EXPERTS TO ANNUAL MEETINGS AND ADDITIONAL PROGRAMS OF THE GERMAN ASSOCIATION FOR AMERICAN STUDIES.,4236.0
Department of State,2/26/2025,"TO PROVIDE FUNDS FOR THE $10,000 AWARD FUND, WHICH WILL BE DISTRIBUTED BY THE IMPLEMENTER AMONG THE WINNERS OF THE FINAL PITCH AT THE END OF THE ACADEMY FOR WOMEN ENTREPRENEURS IN VARNA 2024.",0.0
Department of State,2/26/2025,"CONSTRUCT SCHOOL FRIENDLY LATRINES ADAPTED FOR BOYS AND GIRLS AND EDUCATE GIRLS ON MENSTRUAL HYGIENE MANAGEMENT TO IMPROVE SANITATION CONDITIONS FOR STUDENTS AND TEACHERS AT GOVERNMENT HIGH SCHOOL MVOUTESSI TO BENEFIT 3,210 YOUTH AT ZOETELE, IN THE SOUTH",3500.0
Department of State,2/26/2025,"PURCHASE OF SEWING MACHINES AND OTHER EQUIPMENT, SETTING UP WORKSHOPS FOR LEATHER CRAFTS, AND SEWING OF TRADITIONAL SAHARAN GARMENTS TO CREATE EQUITABLE AND SUSTAINABLE JOBS FOR THE YOUTH AND WOMEN IN FASHION INDUSTRY, TO BENEFIT 10,300 IN MAROUA.",3500.0
Department of State,2/26/2025,"CONSTRUCT TWO SOLAR WATER PUMPING SYSTEMS WITH WATER RESERVOIR TO INCREASE ACCESS TO SAFE DRINKING WATER FOR 8,396 PEOPLE IN AND AROUND DZENG IN THE CENTER REGION.",3500.0
Department of State,2/26/2025,"PURCHASE FARM TOOLS AND INPUTS, TRAIN FARMERS IN NEW FARMING TECHNIQUES, GROUP SALES, AND ESTABLISH DIVERSE MARKETABLE CROP FARMLANDS, AND COMMERCIAL NETWORKS BETWEEN PRODUCERS AND URBAN PARTNERS TO BENEFIT 8,500 PERSONS IN AND AROUND GALIM IN THE WEST.",3500.0
Department of State,2/26/2025,FY23 GEP TEACHER PROGRAM FULBRIGHT COMMISSION URUGUAY,0.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,7000.0
Department of State,2/26/2025,"TO CONTRIBUTE TO THE PROTECTION OF THE ENVIRONMENT THROUGH BETTER SOLID WASTE MANAGEMENT AND IMPROVED HEALTH AND LIVELIHOOD OF RESIDENTS OF TILTE AND HOGANE WACHO KEBELES IN TABOR SUB CITY, IN HAWASSA, SIDAMA REGION.",2800.0
Department of State,2/26/2025,"TO ECONOMICALLY EMPOWER 40 WOMEN WHO ARE CARETAKERS OF DISABLED FAMILY MEMBERS AFFECTED BY THE NORTHERN ETHIOPIA CONFLICT IN MEKELLE, TIGRAY REGION.",2800.0
Department of State,2/26/2025,TO CREATE INCOME GENERATION OPPORTUNITIES FOR 46 VULNERABLE WOMEN AND THEIR 105 FAMILY MEMBERS THROUGH ENGAGING THEM IN TRADITIONAL HANDICRAFT MAKING IN THE KOSHE AREA OF ADDIS MAIN WASTE COLLECTION SITE.,2800.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,FENCING OF WOMEN GARDEN,200.0
Department of State,2/26/2025,"TO CO-FUND GEORGIAN TRANSLATION AND PUBLISHING COSTS OF THE BOOK AMERICA IN THE WORLD, A HISTORY OF U.S. DIPLOMACY AND FOREIGN POLICY, FIRST EDITION, BY ROBERT B. SOELLICK THROUGH THE BOOK TRANSLATION PROGRAM.",0.0
Department of State,2/26/2025,"PROJECT FOR THE INSTALLATION OF TWO (2) CEREAL HULLING CENTERS AND FLOUR MILLS IN THE SUB-PREFECTURE OF POREDAKA, PREFECTURE OF MAMOU.",1000.0
Department of State,2/26/2025,"TO SUPPORT PAOLA NARDI, PROFESSOR OF AMERICAN LITERATURE AT THE UNIVERSITY OF GENOA, IN A SERIES OF LECTURES SHE WILL DELIVER TO HIGH SCHOOL TEACHERS FOCUSED ON HOW TO BEST TEACH AMERICAN LITERATURE AT LOCAL HIGH SCHOOLS.",0.0
Department of State,2/26/2025,FILM NOMAD NGO IN PARTNERSHIP WITH SUNDANCE COLLAB PROPOSES A COMPREHENSIVE PLAN TO SUPPORT AND EMPOWER MONGOLIAN FILMMAKERS THROUGH A JOINT ONLINE FILM DEVELOPMENT PROGRAM.,7000.0
Department of State,2/26/2025,"ECONOMIC DIVERSIFICATION AND THE CREATION OF OPPORTUNITIES FOR IMPROVED LIVELIHOODS, JOB AND WEALTH CREATION THROUGH IMPROVED SURFACE IRRIGATION AND WATER ACCESS.",2800.0
Department of State,2/26/2025,"THE PURPOSE OF THIS PROJECT IS TO EMPOWER WOMEN AND YOUTH, ENHANCE COMMUNITY BUSINESS, AND PROMOTE FINANCIAL LITERACY IN THE COMMUNITY THROUGH THE IMPLEMENTATION OF GROUNDNUT OIL PRESSING MACHINES.",2800.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,7615.0
Department of State,2/26/2025,"CONSTRUCTION OF INTEGRATED PLAYGROUND CENTER WHICH INCLUDE BASKETBALL, VOLLEYBALL, NETBALL, AND SOCCER.",4046.52
Department of State,2/26/2025,,7000.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,3000.0
Department of State,2/26/2025,TO ESTABLISH A CHICKEN PROJECT TO PROVIDE A STEADY FOOD SOURCE AND INCOME GENERATION FOR DEAF STUDENTS,7000.0
Department of State,2/26/2025,"SOLAR-POWERED WELL: INSTALLATION OF A SOLAR-POWERED WELL TO PROVIDE SAFE DRINKING WATER, INTRODUCING INNOVATIVE TECHNOLOGY FOR WATER ACCESS.",1749.5
Department of State,2/26/2025,"CHILDREN'S EDUCATION CENTER RENOVATION: UPGRADING AND EQUIPPING AN EDUCATION CENTER SERVING INCARCERATED INDIVIDUALS' FAMILIES AND PEOPLE WITH DISABILITIES, SUPPORTED BY WINGS FOR LIFE",1749.25
Department of State,2/26/2025,,3492.0
Department of State,2/26/2025,"SCHOOL RENOVATION: PURCHASE MATERIALS TO RENOVATE A COMMUNITY SCHOOL, TO PROMOTE EARLY CHILDHOOD ENROLLMENT.",1736.75
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"SUBSTANCE ABUSE TREATMENT: AGRICULTURAL PROJECT SUPPORTING YOUTH REHABILITATION FROM SUBSTANCE USE DISORDERS, UTILIZING LOCAL EXPERTISE AND SOLAR TECHNOLOGY",0.0
Department of State,2/26/2025,"TO PROVIDE ENGLISH CLASSES TO HIGH SCHOOL STUDENTS IN YANGA, VERACRUZ, A SMALL CITY WITH AFRO-MEXICAN DESCENDANT POPULATION. THIS PROGRAM IS FOCUSED ON STUDENTS INTERESTED IN REACHING ENGLISH LEVEL A2 OR HIGHER LEADING THEM TO BETTER ACADEMIC OPPORTUNITI",0.0
Department of State,2/26/2025,"THE UISIB PRIMARY SCHOOL IN HARDAP, NAMIBIA AND THE SURROUNDING COMMUNITY LACK ACCESS BASIC NECESSITIES FUNDS WILL FUNDS WOULD BE USED TO REPLACE THE STOLEN PUMP, REHABILITATE THE BOREHOLE, AND PURCHASE WATER TANKS.",4203.25
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"TO CO-FUND GEORGIAN TRANSLATION AND PUBLISHING COSTS OF THE BOOK RESEARCH DESIGN: QUALITATIVE, QUANTITATIVE, AND MIXED METHODS APPROACHES, SIXTH EDITION BY JOHN W. CRESWELL AND J. DAVID CRESWELL THROUGH THE BOOK TRANSLATION PROGRAM.",0.0
Department of State,2/26/2025,"SECURING THE SCHOOL AGAINST FREQUENT WANDERING ANIMALS, SNAKES, AND VARIOUS SECURITY RISKS.",6700.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,2010.0
Department of State,2/26/2025,IMPROVED SANITATION AND INCOME PRODUCTION: PRODUCTION OF AFFORDABLE LATRINES FOR SALE IN SURROUNDING COMMUNITIES,1660.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"EMPOWERING WOMEN AND GIRLS THROUGH TRAINING, PEANUT OIL EXTRACTION MATERIAL SUPPORT IN ORDER TO CONTINUOUSLY CARRY OUT INCOME-GENERATING ACTIVITIES.",1600.0
Department of State,2/26/2025,TO PURCHASE A SET MILK COOLING TANK FOR THE TSARA RONONO COOPERATIVE IN ANTSIRABE I,0.0
Department of State,2/26/2025,PROVIDING PERIMETER FENCE FOR THE KOMBO KEREWAN JOLA KUNDA WOMEN COMMUNITY GARDEN,200.0
Department of State,2/26/2025,,4110.0
Department of State,2/26/2025,"FAKE NEWS WORKSHOPS, MAKE OVER CORPORATE IDENTITY, E-READERS/IPADS",1300.0
Department of State,2/26/2025,INCREASE THE FINANCIAL AUTONOMY OF VULNERABLE WIDOWS AND ORPHANS THROUGH INCOME-GENERATING ACTIVITIES (SOAP-MAKING AND BAKING/PASTRY).,1500.0
Department of State,2/26/2025,"THE PROJECT AIMS TO PROVIDE SAFE DRINKING WATER TO FAMILIES BY CONSTRUCTING WATER WELLS, PURCHASING WATER FILTERS, AND INSTALLING RAINWATER COLLECTION TANKS.",3000.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,6450.0
Department of State,2/26/2025,"TO FUND THE CREATION OF A DATABASE FOR JOURNALISTS, TO SERVE AS A SOURCE OF ANALYSIS AND CROSSING DIFFERENT LAYERS OF GEOSPATIAL DATA, A CROSS-BORDER NETWORK COMPRISED OF JOURNALISTS, SCIENTISTS, THIRD SECTOR LEADERS AND EXPERTS IN POLITICAL ADVOCACY.",34200.0
Department of State,2/26/2025,"THE STRATEGIC PROGRAMS FOCUS ON STEM EDUCATION, STEAM ACTIVITIES, AND DIVERSITY AND INCLUSION INITIATIVES AND TO MANAGE ITS DAILY OPERATION, AS WELL AS THE PROCUREMENT OF TECHNOLOGY AND MULTIMEDIA PROMOTIONAL MATERIALS THAT WILL ENHANCE THESE EFFORTS,",645.0
Department of State,2/26/2025,"TO CO-FUND GEORGIAN TRANSLATION AND PUBLISHING COSTS OF THE BOOK THE WORLD'S RELIGIONS, 2ND EDITION BY HUSTON SMITH THROUGH THE BOOK TRANSLATION PROGRAM.",0.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,3810.0
Department of State,2/26/2025,PROMOTE WOMEN'S AUTONOMY THROUGH THE CREATION OF INCOME-GENERATING ACTIVITIES. THIS PROJECT WILL ENABLE BENEFICIARIES AND MEMBERS OF THE COMMUNITY IN GENERAL TO IMPROVE THEIR LIVING CONDITIONS BY INCREASING THEIR INCOME THROUGH PEANUT OIL EXTRACTION.,1300.0
Department of State,2/26/2025,ASSIST WOMEN IN FIGHTING AGAINST POVERTY THROUGH INCOME GENERATING ACTIVITY. THE PROJECT WILL ASSIST A GROUP OF WOMEN WITH MATERIALS TO IMPROVE ON THEIR TRADITIONAL WAYS OF PEANUT OIL EXTRACTION.,1300.0
Department of State,2/26/2025,THIS PROJECT CONSISTS IN EMPOWERING TWO WOMEN-EDUCATORS ASSOCIATIONS WITH INCOME GENERATING ACTIVITIES IN ORDER TO SUPPORT THEIR COMMUNITY SCHOOLS.,1300.0
Department of State,2/26/2025,"TO PLANT AND MAINTAIN A COMMUNITY GARDEN IN THE VILLAGE OF KOMANA TO INCREASE AVAILABILITY AND ACCESS TO HEALTHY, LOCALLY SOURCED FRESH FRUITS AND VEGETABLES FOR THE COMMUNITY.",0.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,"THE PURPOSE OF THIS PROJECT IS TO IMPROVE ECONOMIC PRODUCTIVITY IN THE COMMUNITY, COMBAT HUNGER/POVERTY, AND REDUCE POST-HARVEST LOSSES THROUGH THE INSTALLATION OF A COMBINED MICRO CROPS PROCESSING MILL.",2480.0
Department of State,2/26/2025,,6159.0
Department of State,2/26/2025,"MINI-RICE MILLING MACHINE: PURCHASE OF A RICE MILL IN LOFA TO INCREASE PRODUCTION, LINKING TO MICROFINANCE AND MARKETS WHILE MENTORING SMALL FARMERS AND CREATING JOBS",1537.5
Department of State,2/26/2025,FY23 GEP-TEACHERS PROGRAM FULBRIGHT COMMISSION CZECH REPUBLIC,0.0
Department of State,2/26/2025,,1836.0
Department of State,2/26/2025,,0.0
Department of State,2/26/2025,FY24-GEP-SAEG-FULBRIGHT COMMISSION JORDAN,0.0
Department of State,2/26/2025,COMMUNITY COLLEGE INITIATIVE PROGRAM,0.0
Department of State,2/26/2025,PARTICIPATION OF U.S. SPEAKERS AT INTERNET GOVERNANCE FORUM,6027.0
Department of State,2/26/2025,,1200.0
Department of State,2/26/2025,"PURCHASE TWO MULTIPURPOSE GRAIN MILLS AND CONSTRUCT A GRINDING SHELTER TO INCREASE INCOME OF MEMBERS OF A YOUTH GROUP AND ALLEVIATE THE BURDEN OF WOMEN AND CHILDREN FROM MANUALLY PROCESSING GRAINS, AFFECTING 4,520 PERSONS IN MARTAP, ADAMAWA REGION.",3000.0
Department of State,2/26/2025,"CONSTRUCT A SCIENCE LABORATORY BUILDING AT BELABO GOVERNMENT BILINGUAL HIGH SCHOOL TO EMPOWER STUDENTS TO PURSUE SCIENCE EDUCATION AND CAREERS BENEFITTING 3,016 YOUTH IN BELABO.",3000.0
Department of State,2/26/2025,EDUCATIONUSA ADVISING FUNDS FOR THE PHILIPPINE-AMERICAN EDUCATIONAL FOUNDATION IN MANILA,0.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,1200.0
Department of State,2/26/2025,AMERICAN SPACES ENTREPRENEURIAL STUDY GROUP SYMPOSIUM WITH BOTH PERSONS WITH DISABILITIES AND ABLED PERSONS TO ENSURE EQUITABLE ACCESS TO LEADERSHIP SKILLS DEVELOPMENT AND ENTREPRENEURIAL MENTORSHIP.,6000.0
Department of State,2/26/2025,THE AWARD WILL COVER THE TESTING FEES FOR A GROUP OF 15 STUDENTS IN THE COMPETITIVE COLLEGE CLUB FOR THE SAT AND TOEFL TESTS.,0.0
Department of State,2/26/2025,,1800.0
Department of State,2/26/2025,"TO PLAN AND EXECUTE A PROGRAM THAT IS AN ADAPTATION OF THE HACKING FOR DEFENSE PROGRAM, TAILORED SPECIFICALLY TO THE PORTUGUESE ECOSYSTEM, HOSTED AT PORTUGAL'S PREMIER TECHNICAL ENGINEERING SCHOOL, TO ENHANCE COLLABORATION BETWEEN STUDENTS, THE MILITARY,",0.0
Department of State,2/26/2025,,4000.0
Department of State,2/26/2025,"THIS PROJECT AIMS TO EMPOWER INFLUENTIAL YOUNG ACTIVISTS IN SPAIN THROUGH A LEADERSHIP DEVELOPMENT PROGRAM DESIGNED TO EQUIP THEM WITH THE NECESSARY SKILLS, KNOWLEDGE, AND RESOURCES TO BECOME EFFECTIVE CIVIC ENGAGED LEADERS AND BECOME POSITIVE ROLE MODEL",600.0
Department of State,2/26/2025,COLLABORATIVE AGREEMENT WITH THE CENTER FOR SECURITY STUDIES AT ETH ZURICH TO CREATE A MULTIEVENT SPEAKER PROGRAM FOCUSED ON COUNTERING DISINFORMATION.,6000.0
Department of State,2/26/2025,TO CREATE A COLLABORATIVE SPEAKER PROGRAM WITH THE AIMS OF ENCOURAGING YOUNG WOMEN TO ENTER STEM FIELDS; ELEVATING AND SUPPORTING EARLY AND MID-CAREER WOMEN WHO ARE STEM PROFESSIONALS; AND RECOGNIZING THE ACHIEVEMENTS OF WOMEN IN STEM.,6000.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,3500.0
Department of State,2/26/2025,INSTALL GRAIN MILL FOR CORN PROCESSING INTO FLOUR,1200.0
Department of State,2/26/2025,,2400.0
Department of State,2/26/2025,TO MODERNIZE A HONEY HARVESTING PROJECT TO SUPPORT LIVELIHOODS FOR PEOPLE WITH DISABILITIES.,6000.0
Department of State,2/26/2025,,5995.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,1284.0
Department of State,2/26/2025,"THE PURPOSE OF AMERICAN CORNER SOFIA'S ANNUAL PROGRAMMING IS TO ADVANCE MISSION PRIORITIES ON ECONOMIC EMPOWERMENT, INCLUSION, AND PEOPLE-TO-PEOPLE ENGAGEMENT TO ENSURE BULGARIA REMAINS A STRONG, RELIABLE PARTNER OF THE UNITED STATES.",0.0
Department of State,2/26/2025,FY24-GEP-SAEG-FULBRIGHT COMMISSION ECUADOR,0.0
Department of State,2/26/2025,"EQUIP A SEAMSTRESS AND STYLING CENTER WITH SEWING MACHINES, EMBROIDERY, AND MATERIAL TO TRAIN THE YOUTH FOR SOCIO-ECONOMIC REINSERTION",2195.0
Department of State,2/26/2025,,5850.0
Department of State,2/26/2025,FY22 GEP HUMPHREY- COMMISSION INDONESIA,0.0
Department of State,2/26/2025,TO DELIVER ROBOTICS AND SOCIAL MEDIA MARKETING SKILLS COURSE FOR YOUTH WITH DISABILITIES IN FERGANA OFFERING ONGOING SUPPORT AND ENCOURAGEMENT AS STUDENTS PURSUE FURTHER EDUCATION OR CAREERS IN THE IT AND ROBOTICS FIELDS,5773.0
Department of State,2/26/2025,"TO CO-FUND GEORGIAN TRANSLATION AND PUBLISHING COSTS OF THE BOOK WHY LIBERALISM WORKS, WORKS (HOW TRUE LIBERAL VALUES PRODUCE A FREER, MORE EQUAL, PROSPEROUS WORLD FOR ALL, BY DEIRDRE NANSEN MCCLOSKE.",0.0
Department of State,2/26/2025,RENEWAL OF WARD TOILET AND SHOWER FACILITIES.,200.0
Department of State,2/26/2025,TO CO-FUND GEORGIAN TRANSLATION AND PUBLISHING COSTS OF THE BOOK SUSTAINABLE: MOVING BEYOND ESG TO IMPACT INVESTING BY TERRENCE KEELEY THROUGH THE BOOK TRANSLATION PROGRAM.,0.0
Department of State,2/26/2025,"TO AWARD AC UNAND PADANG TO CONDUCT VARIOUS PROGRAMS ON PUBLIC DIPLOMACY, YOUNG WOMEN LEADERS AND CULTIVATING INCLUSIVE COMMUNITIES",0.0
Department of State,2/26/2025,,5508.0
Department of State,2/26/2025,"BREAST CANCER AWARENESS CAMPAIGN AIMS TO ENHANCE AWARENESS REGARDING BREAST CANCER, ENCOURAGE REGULAR MEDICAL EXAMINATIONS FOR EARLY DETECTION AND PROVIDE PSYCHOLOGICAL SUPPORT.",0.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,5500.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,3000.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,0.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,0.0
Department of State,2/26/2025,"THE PURPOSE OF AMERICAN CORNER PLOVDIV?S ANNUAL PROGRAMMING IS TO ADVANCE MISSION PRIORITIES ON ECONOMIC EMPOWERMENT, INCLUSION, AND PEOPLE-TO-PEOPLE ENGAGEMENT TO ENSURE BULGARIA REMAINS A STRONG, RELIABLE PARTNER OF THE UNITED STATES.",0.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,0.0
Department of State,2/26/2025,,5320.0
Department of State,2/26/2025,POULTRY FEED PRODUCTION . FOOD GRANULATOR AND MIXER GRINDER.,1742.59
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,0.0
Department of State,2/26/2025,"TO ORGANIZE KEY EVENTS IN 2025 DURING THE RECIPROCAL VISIT OF AMERICAN PARTICIPANTS. THESE EVENTS WILL INCLUDE A WELCOME RECEPTION, A BASKETBALL MATCH, HIKING PROGRAM AND ENGAGEMENTS WITH NEPALI CREATORS AND INFLUENCERS.",5155.0
Department of State,2/26/2025,"TO CO-FUND GEORGIAN TRANSLATION AND PUBLISHING COSTS OF THE BOOK TESTING WITH HUMANS: HOW TO USE EXPERIMENTS TO DRIVE FASTER, MORE INFORMED DECISION MAKING BY GIFF CONSTABLE THROUGH THE BOOK TRANSLATION PROGRAM.",0.0
Department of State,2/26/2025,DESCRIPTION MASKED FOR PII PURPOSES,1000.0
Department of State,2/26/2025,"INSTALL A WATER FILTRATION SYSTEM AND WELL IN ALFANDEGA COMMUNITY, IN SANZA-POMBO MUNICIPALITY, UIGE PROVINCE, BENEFITING 3,000 COMMUNITY MEMBERS.",0.0
Department of State,2/26/2025,,500.0
Department of State,2/26/2025,"THE ACTIVITY WILL SUPPORT ECONOMIC LIVELIHOODS IN THE AREA, CONTRIBUTE TO ECONOMIC DIVERSIFICATION, AND REDUCE YOUTH UNEMPLOYMENT.",0.0
Department of State,2/26/2025,"THE PROJECT WILL BE IMPLEMENTED IN BRAZZAVILLE, POINTE-NOIRE, EWO, OWANDO, DOLISIE, KINKALA, MAKOUA AND GAMBOMA. TWO HUNDRED WOMEN, THEIR FAMILIES, AND THEIR LOCAL COMMUNITIES WILL BENEFIT FROM THIS PROJECT.",0.0
Department of State,2/26/2025,"THE AIM OF THIS PROJECT IS TO SET UP A BASIC COMPUTER TRAINING PROGRAM FOR UNDERPRIVILEGED GIRLS AGED 15-18 LIVING IN THE ORPHANAGE AND THOSE ATTENDING THE BRAZZAVILLE SPECIAL SCHOOL, PROVIDING THEM WITH SKILLS IN INTERNET NAVIGATION AND OFFICE AUTOMATIO",0.0
Department of State,2/26/2025,"THIS PROJECT WILL INCLUDE TRAINING IN PERMACULTURE, COMPOSTING, CROP ROTATIONS AND OTHER TECHNIQUES TO REDUCE DEPENDENCE ON CHEMICAL FERTILIZERS, WHILE IMPROVING SOIL HEALTH AND LOCAL BIODIVERSITY.",0.0
Department of State,2/26/2025,"THE PROJECT CONSISTS IN BUILDING TWO SUSTAINABLE DRINKING WATER SOURCES IN THE VILLAGE OF LOUKAMI, POOL DEPARTMENT, AND IN MAYANGA IN BRAZZAVILLE FOR A PERIOD OF TWELVE MONTHS. FUNDS WILL BE USED TO PURCHASE CONSTRUCTION MATERIALS.",0.0
Department of State,2/26/2025,"THE PROJECT AIMS AT STRENGTHENING DIGITAL AND TECHNICAL SKILLS, PARTICULARLY AMONG YOUNG WOMEN, TO INCREASE THEIR EMPLOYABILITY IN STEM (SCIENCE, TECHNOLOGY, ENGINEERING, MATHEMATICS) FIELDS.",0.0
Department of State,2/26/2025,THE PROJECT WILL CONTRIBUTE TO ECONOMIC DIVERSIFICATION AND SUPPORT INCOME-GENERATING ACTIVITIES FOR THE UNEMPLOYED YOUNG PEOPLE OF THE COASTAL AND ECONOMIC CITY OF CONGO.,5000.0
Department of State,2/26/2025,CONDUCT ROBOTICS WORKSHOPS IN THE AMERICAN CENTER FOR 6 MONTHS TO INSPIRE SCIENCE AND TECHNOLOGY LEADERSHIP AND INNOVATION AMONG YOUNG PEOPLE IN CAR IN ORDER TO SPREAD KNOWLEDGE OF TECHNOLOGIES AS A MEANS OF REPAIRING SOCIAL FABRIC.,5000.0
Department of State,2/26/2025,TO PROVIDE CONTINUED SUPPORT OF AMERICAN SPACE AT UNI-CV MINDELO,0.0
Department of State,2/26/2025,"THE PRODUCTION OF A DOCUMENTARY ON YOUTH BRAWLS IN PARIS AND CHICAGO, SCREENINGS AND DEBATES TO PREVENT VIOLENT EXTREMISM.",1000.0
