Agency,Description,Uploaded On,Link,Saved
Department of Treasury,ENTERPRISE CASE MANAGEMENT OFFICE (ECMO) INITIATIVE AND PROGRAM MANAGEMENT SUPPORT,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00754&modNumber=P00002&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,0.0
Department of Treasury,"PROJECT MANAGEMENT CONSULTING SERVICES FOR TAXPAYER SERVICES, MEDIA & PUBLICATIONS.",2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H825F00021&modNumber=0&idvAgencyID=&idvPIID=2032H824A00014&contractType=AWARD,2117281.0
Department of Treasury,NEW TASK ORDER FOR LAR MITRE SUPPORT FY24,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00307&modNumber=P00001&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,0.0
Department of Treasury,"ENTERPRISE PROGRAM MANAGEMENT OFFICE, CLEAN ENERGY (CE) PROGRAM MANAGEMENT OFFICE (PMO) MITRE SUPPORT",2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H525F00044&modNumber=P00001&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,0.0
Department of Treasury,MITRE FFRDC SUPPORT FOR IR MODERNIZATION FY24,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00354&modNumber=P00001&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,0.0
Department of Treasury,"SMALL BUSINESS/SELF EMPLOYED (SB/SE) CUSTOMER EXPERIENCE, EXPECTATIONS, AND NEEDS (CEEN) SURVEY",2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H821F00241&modNumber=P00008&idvAgencyID=&idvPIID=2032H821A00002&contractType=AWARD,402576.0
Department of Treasury,The contractor executes and provides professional support staff to assist Applications Project Management Division program and project managers in timely execution of IT projects by completing activities in the IT Request for Change process.,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2041&PIID=2031ZB25F00030&modNumber=0&idvAgencyID=&idvPIID=47QRAA23D005M&contractType=AWARD,827557.0
Department of Treasury,"LBI EVALUATION AND AUDIT SUPPORT: Vendor provides technical expertise , guidance, and recommendation on high-tech tax issues, including support with issued involving TPs' research credit and experimental expenditures",2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00449&modNumber=0&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,0.0
Department of Treasury,SMALL BUSINESS/ SELF EMPLOYED (SB/SE) NEEDS AND ENGAGEMENT SURVEY OF TAX PROFESSIONALS (NEST),2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H822F00215&modNumber=P00006&idvAgencyID=&idvPIID=2032H821A00002&contractType=AWARD,368522.0
Department of Treasury,Quality Management System,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2044&PIID=2031JG24F00284&modNumber=P00001&idvAgencyID=&idvPIID=2031JG24D00024&contractType=AWARD,1199994.0
Department of Treasury,EXECUTIVE PROGRAM SUPPORT SERVICESPOP: 6/05/2024-12/04/2026,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524P00050&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,3450.0
Department of Treasury,SECURITY RISK MANAGEMENT (SRM) ARTIFICIAL INTELLIGENCE (AI) LARGE LANGUAGE MODELS (LLM) DEVELOPMENT SUPPORT,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00616&modNumber=P00001&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,0.0
Department of Treasury,"TO ISSUE CO #6 FOR DATA GOVERNANCE & DATA CATALOGING SUPPORT SERVICES UNDER GUIDEHOUSE, INC. BPA 2032H322A0003.",2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2001&PIID=2032H323F00119&modNumber=P00003&idvAgencyID=&idvPIID=2032H322A00003&contractType=AWARD,348115.0
Department of Treasury,IRS RAAS SECURITY AND PRIVACY PROGRAM IMPLEMENTATION SUPPORT,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00710&modNumber=0&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,217913.0
Department of Treasury,508 SUPPORT SERVICES-NEW HIRE INITIATIVE (NHI),2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00160&modNumber=P00002&idvAgencyID=&idvPIID=2032H520D00015&contractType=AWARD,0.0
Department of Treasury,RAAS SUPPORT PLANNING AND INITIATING DATA SECURITY - Data Security Executive Steering Committee,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00532&modNumber=P00001&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,0.0
Department of Treasury,RISK MANAGEMENT LEADERSHIP COUNCIL SUBSCRIPTION (CLASSIC MEMBERSHIP)- BASE YEAR AND TWO (2) OPTION YEARS,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2091JB23P00524&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,36217.0
Department of Treasury,ADMINISTRATIVE SUPPORT SERVICES HEADQUARTERS,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20340921F00001&modNumber=P00005&idvAgencyID=&idvPIID=2032H520A00026&contractType=AWARD,0.0
Department of Treasury,Vendor provides one service wide membership including access to research conducted by organization and social connectivity to other knowledge management professionals in industry.,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=205AE923F00039&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA23D003P&contractType=AWARD,26400.0
Department of Treasury,"Printing, Matting and Framing Support Services",3/4/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2046&PIID=2031JW22C00013&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,650060.0
Department of Treasury,WCF Tour Brochure Distribution and Marketing Services,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2041&PIID=2031ZA24P00511&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,66315.0
Department of Veterans Affairs,LGBTQ+ database,1/29/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C25722F0129&modNumber=P00003&idvAgencyID=&idvPIID=47QSEA20D000C&contractType=AWARD,8200.0
Department of Veterans Affairs,"THE PURPOSE OF THIS AWARD IF TO OBTAIN VHA, WEB-BASED DATABASE SUBSCRIPTION NEWS SERVICES FOCUSED ON VETERAN'S HEALTHCARE LEGISLATIVE AND REGULATORY POLICY.MODIFICATION P00001- OPTION PERIOD ONE",2/7/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X20C0062&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Veterans Affairs,CIVIL TREATMENT TRAINING COURSES,2/10/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24C0035&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Veterans Affairs,"Government Plus Membership/Sponsorship Package or Department of Veterans Affairs, Office of the Secretary",2/10/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24P0056&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,15000.0
Department of Veterans Affairs,NEWSPAPERS AND PERIODICALS,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C25723F0016&modNumber=P00003&idvAgencyID=&idvPIID=47QSEA20D000C&contractType=AWARD,461736.0
Department of Veterans Affairs,VHA HIGH RELIABILITY ORGANIZATION (HRO) SUPPORT SERVICES BLANKET PURCHASE AGREEMENT: CALL 6 FOR HRO LEADERSHIP TRAINING/COACHING SUPPORT.,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24F0031&modNumber=P00005&idvAgencyID=&idvPIID=36C10X19A0027&contractType=AWARD,136672.0
Department of Veterans Affairs,PROFESSIONAL PROGRAM MANAGEMENT AND BUSINESS PROCESS ANALYSIS SUPPORT RELATED SERVICES,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X23N0126&modNumber=P00006&idvAgencyID=&idvPIID=VA119A17D0121&contractType=AWARD,7047284.0
Department of Veterans Affairs,OPAL TIER 1 ACQUISITION SYSTEMS SUPPORT,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10B25F0054&modNumber=P00001&idvAgencyID=&idvPIID=GS00F132DA&contractType=AWARD,8172390.0
Department of Veterans Affairs,"Exercise Option Period 1 for the continuation of services to include 205,000 LinkedIn Licenses and Support Services",2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10A23F0061&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD26B&contractType=AWARD,1363250.0
Department of Veterans Affairs,IDEA PROGRAM SUPPORT,2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24F0106&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA19D0013&contractType=AWARD,0.0
Department of Veterans Affairs,STRATEGIC COMMUNICATION & CHANGE MANAGEMENT SERVICES,2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D24F0070&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA18D007Y&contractType=AWARD,30339278.0
Department of Veterans Affairs,DIGITAL MODERNIZATION ANALYTICAL SUPPORT SERVICES TO,2/21/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D23F0030&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA19D0008&contractType=AWARD,11516972.0
Department of Veterans Affairs,BPA ORDER,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X23F0089&modNumber=P00004&idvAgencyID=&idvPIID=36C10X23A0023&contractType=AWARD,28671080.0
Department of Veterans Affairs,"PROGRAM MANAGEMENT SUPPORT SERVICES FOR OCFM 425 I STREET, NW WASHINGTON, DC.",2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10F23F0036&modNumber=P00006&idvAgencyID=&idvPIID=GS10F011BA&contractType=AWARD,25630156.0
Department of Veterans Affairs,VBA LGY MORTGAGE MARKET DATA SERVICES PURCHASE,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D24F0089&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA18D0063&contractType=AWARD,8207197.0
Department of Veterans Affairs,COMMERCIAL PROFESSIONAL SERVICES STRATEGIC COMMUNICATION PLAN TOPR 0153,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24N0194&modNumber=P00001&idvAgencyID=&idvPIID=36C10X23D0015&contractType=AWARD,4292369.0
Department of Veterans Affairs,THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE SUPPORT TO ILEAD EFFORTS TO FULLY ACHIEVE THE THREE IDENTIFIED OUTCOME GOALS CONTAINED WITHIN THE TRAINING ACTION PLAN IN ORDER TO FULLY MEET GAO CRITERIA FOR REMOVAL FROM THE GAO HIGH RISK LIST,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X23N0143&modNumber=P00004&idvAgencyID=&idvPIID=VA119A17D0146&contractType=AWARD,2591173.0
Department of Veterans Affairs,INITIAL TASK ORDER PROVIDING POST TRANSACTION SUPPORT FOR THIS IDIQ,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77624N0371&modNumber=P00001&idvAgencyID=&idvPIID=36C77624D0003&contractType=AWARD,0.0
Department of Veterans Affairs,"INDEFINITE DELIVER INDEFINITE QUANTITY ENERGY, ENVIRONMENT, AND FLEET PROGRAM SERVICE",2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77624N0837&modNumber=P00001&idvAgencyID=&idvPIID=36C77622D0027&contractType=AWARD,0.0
Department of Veterans Affairs,INDEFINITE DELIVERY INDEFINITE QUANTITY MANAGEMENT OF ENTERPRISE-WIDE LEASE PORTFOLIO OF GSA DELEGATION PROCESS,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77624N0781&modNumber=P00001&idvAgencyID=&idvPIID=36C77623D0006&contractType=AWARD,0.0
Department of Veterans Affairs,VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT- MODIFICATION TO ADD FAR CLAUSE 52.204-27.,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X23N0141&modNumber=P00002&idvAgencyID=&idvPIID=36C10X20D0004&contractType=AWARD,494319.0
Department of Veterans Affairs,"PROGRAMMING, DEVELOPMENT, DELIVERY, & SUPPORT OF THE INET ACCELERATOR PROGRAM",2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X23C0064&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Veterans Affairs,SUPPORT EUL PROGRAM BY PROVIDING REAL PROPERTY MARKET AND FINANCIAL ANALYSIS THROUGH EXPERTISE IN STRATEGIC TECHNICAL SUPPORT IMPLEMENTATION MANAGEMENT,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77625P0008&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Veterans Affairs,"INDEFINITE DELIVER INDEFINITE QUANTITY ENERGY, ENVIRONMENT, AND FLEET PROGRAM SERVICE",2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77624N0823&modNumber=P00001&idvAgencyID=&idvPIID=36C77622D0027&contractType=AWARD,0.0
Department of Veterans Affairs,MILWAUKEE EXTENDED USE LEASE DUE DILIGENCE SUPPORT FOR PLANNED DEVELOPMENT ON VA PROPERTY.,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77624P0039&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Veterans Affairs,PROVIDE DUE DILIGENCE PROJECT SUPPORT FOR STOCKTON EXTENDED USE LEASE.,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77625P0003&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Veterans Affairs,"DEVELOP A HANDBOOK TO SUPPORT IMPLEMENTATION OF DIRECTIVE 0055, VA ENERGY AND WATER MANAGEMENT PROGRAM",2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77624N0294&modNumber=P00001&idvAgencyID=&idvPIID=36C77622D0027&contractType=AWARD,0.0
Department of Veterans Affairs,SUPPORT FOR BROCKTON EXTENDED USE LEASE DEVELOPMENT,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77624P0021&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Veterans Affairs,EXTENDED USE LEASE DEVELOPMENT SUPPORT AT PERRY POINT,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77624P0068&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Veterans Affairs,INDEFINITE DELIVERY INDEFINITE QUANTITY TASK ORDER TO PROVIDE A DATA QUALITY PLAN.,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77625N0046&modNumber=P00001&idvAgencyID=&idvPIID=36C77623D0006&contractType=AWARD,0.0
Department of Veterans Affairs,ENABLE VA PLANNING AND ENGINEERING STAFF TO EVALUATE VARIOUS APPROACHES AND TECHNOLOGIES TO FLEET ELECTRIFICATION,2/26/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77624N0410&modNumber=P00001&idvAgencyID=&idvPIID=36C77622D0027&contractType=AWARD,0.0
Department of Veterans Affairs,"VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT- TASK ORDER W/ BASE AND 4 OPTION YEARS FOR SUPPORT TO POLICY, REGULATION, APPEALS, AND FORM BUSINESS LINES IN THE VHA OFFICE OF REGULATIONS, APPEALS, AND POLICY.",2/27/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X23N0005&modNumber=P00005&idvAgencyID=&idvPIID=36C10X20D0002&contractType=AWARD,131289705.0
Department of Veterans Affairs,MULTI-CHANNEL TECHNOLOGIES (MCT) PROGRAM MANAGEMENT SUPPORT SERVICES (PMSS),2/27/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X20F0033&modNumber=P00012&idvAgencyID=&idvPIID=47QRAA19D0073&contractType=AWARD,638788.0
Department of Veterans Affairs,CAPITAL INVESTMENT OPTIONS IDIQ INDIANAPOLIS FEASIBILITY STUDY TASK ORDER,2/27/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77624N0540&modNumber=P00001&idvAgencyID=&idvPIID=36C77624D0004&contractType=AWARD,0.0
Department of Veterans Affairs,MONTEREY ENHANCED USE LEASE EUL,2/27/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36E77620C0034&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Veterans Affairs,"IMPLEMENT THE VA EXTENDED USE LEASE PROGRAM TO ENABLE THE DEPARTMENT TO FORMULATE, EVALUATE, AND EXECUTE AN EUL PROJECT AT THE VA MEDICAL CENTER IN WACO TX.",2/27/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36E77620C0061&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Veterans Affairs,FOIA SUPPORT SERVICES,2/28/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10B24F0132&modNumber=P00004&idvAgencyID=&idvPIID=GS10F238AA&contractType=AWARD,0.0
Department of Veterans Affairs,NATIONAL DATABASE FOR NURSING QUALITY INDICATORS (NDNQI) SUBSCRIPTION(INCLUDES RN SURVEY MAGNET MODULE),2/28/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C25623C0040&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,45057.0
Department of Veterans Affairs,Executive Leadership Program,2/28/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D24F0040&modNumber=P00001&idvAgencyID=&idvPIID=GS10F0140V&contractType=AWARD,0.0
Department of Veterans Affairs,EIG fellowship participation,2/28/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C25024F0759&modNumber=P00001&idvAgencyID=&idvPIID=GS10F0140V&contractType=AWARD,0.0
Department of Veterans Affairs,POLICY WRITING CONTRACT FOR OMA. NEW IDIQ.,3/3/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10M23C50021&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,1736656.0
Department of Veterans Affairs,VBA OBI MILITARY RECORDS RESEARCH CENTER SUPPORT SERVICES PURCHASE.,3/4/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D22F0018&modNumber=P00004&idvAgencyID=&idvPIID=47QRAA19D00CK&contractType=AWARD,108404776.0
Department of Veterans Affairs,LGY MISSION SUPPORT SERVICES,3/4/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D24F0030&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA20D008D&contractType=AWARD,28266215.0
Department of Veterans Affairs,VBA LGY REGULATORY DRAFTING&IMPACT ANALYSIS SERVICES PURCHASE.,3/4/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10E20P0271&modNumber=P00011&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Department of Veterans Affairs,LGY STAFFING SUPPORT SERVICES,3/4/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D22F0019&modNumber=P00006&idvAgencyID=&idvPIID=47QRAA18D007Y&contractType=AWARD,2880805.0
Department of Veterans Affairs,TRAINING ANALYSIS AND DEVELOPMENT SUPPORT SERVICES,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D25F0023&modNumber=P00001&idvAgencyID=&idvPIID=GS10F0212S&contractType=AWARD,18488905.0
Department of Veterans Affairs,SERVICES IN SUPPORT OF VETERAN READINESS AND EMPLOYMENT (VR&E) LONGITUDINAL STUDY (PL 110-389 SEC. 334),3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D21P0015&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,641393.0
Department of Veterans Affairs,BASE YEAR VECTOR CONTRACT,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D23F0023&modNumber=P00005&idvAgencyID=&idvPIID=GS10F0324X&contractType=AWARD,0.0
Department of Veterans Affairs,"VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT- MODIFICATION TO UPDATE CLAUSES, ADMIN DATA, AND TEAMING PARTNERS.",3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X23N0057&modNumber=P00005&idvAgencyID=&idvPIID=36C10X20D0002&contractType=AWARD,2848452.0
Department of Veterans Affairs,COMMERCIAL PROFESSIONAL SERVICES,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24N0224&modNumber=P00001&idvAgencyID=&idvPIID=36C10X23D0040&contractType=AWARD,3034554.0
Department of Veterans Affairs,OFFICE OF ENTERPRISE INTEGRATION PROGRAM MANAGEMENT SUPPORT SERVICES TASK ORDER AGAINST VECTOR CONTRACT.,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24N0164&modNumber=P00001&idvAgencyID=&idvPIID=VA119A17D0147&contractType=AWARD,2330775.0
Department of Veterans Affairs,VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT- TASK ORDER FOR TECHNICAL WRITING SUPPORT SERVICES.,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X22N0097&modNumber=P00005&idvAgencyID=&idvPIID=36C10X20D0004&contractType=AWARD,65719.0
Department of Veterans Affairs,PROGRAM AND PROJECT MANAGEMENT SUPPORT SERVICES (PPMSS),3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X23P0111&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,1646508.0
Department of Veterans Affairs,ACQUISITION SUPPORT DIRECTORATE TRANSFORMATION SERVICES - THE CONTRACTOR SHALL ASSIST ASD IN PROVIDING ACQUISITION AND CONTRACT MANAGEMENT SUPPORT TO THE VALOR PMO.,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24F0055&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA21D0055&contractType=AWARD,4479262.0
Department of Veterans Affairs,VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) HIGH RELIABILITY ORGANIZATION SUPPORT IDIQ TASK ORDER,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X20N0139&modNumber=P00013&idvAgencyID=&idvPIID=36C10X20D0002&contractType=AWARD,0.0
Department of Veterans Affairs,VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT- MODIFICATION TO INCREASE CONTRACT CEILING.,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24N0137&modNumber=P00002&idvAgencyID=&idvPIID=36C10X20D0002&contractType=AWARD,492974.0
Department of Veterans Affairs,VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT - IHT 20 OFFICE OF DEAN COMMUNICATIONS SUPPORT,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X20N0145&modNumber=P00010&idvAgencyID=&idvPIID=36C10X20D0006&contractType=AWARD,0.0
Department of Veterans Affairs,VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT-,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24N0068&modNumber=P00003&idvAgencyID=&idvPIID=36C10X20D0006&contractType=AWARD,0.0
Department of Veterans Affairs,VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT- TASK ORDER - VALOR,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X24N0062&modNumber=P00002&idvAgencyID=&idvPIID=36C10X20D0004&contractType=AWARD,661285.0
Department of Veterans Affairs,OSSI PROGRAM MANAGEMENT SUPPORT SERVICES,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10D23F0044&modNumber=P00005&idvAgencyID=&idvPIID=GS00F329GA&contractType=AWARD,277328.0
Department of Veterans Affairs,"VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT- MODIFICATION TO UPDATE CLAUSES, ADMIN DATA, AND TEAMING PARTNERS.",3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X22N0144&modNumber=P00009&idvAgencyID=&idvPIID=36C10X20D0006&contractType=AWARD,51555.0
