AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,1884.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,4589.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,8913.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,6002.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,966.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,7056.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,3110.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,6699.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,3047.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,14978.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,5034.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,2954.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,7918.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,11707.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,7035.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,9943.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,10487.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,16487.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,14660.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,20922.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,579.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,116.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,571.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,5686.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,9509.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,447.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,5162.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,1452.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,5885.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,12008.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,31786.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,9682.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,8563.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,6223.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,14586.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,10286.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,11936.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,12683.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,107.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,8991.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,19440.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,7685.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,8523.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,12007.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,11750.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,4768.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,11557.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,2388.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,11741.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,6740.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,3728.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,110.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,1172.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,13400.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,14417.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,8299.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,12647.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,5292.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,1903.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,22784.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,202.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,7328.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,3912.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,5949.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,2163.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,12450.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,13954.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,72104.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,7510.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,10600.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,21619.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,6475.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,4143.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,3376.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,7594.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,33904.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,9513.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,14435.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,64736.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,8363.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,9313.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,6847.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,26031.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,25662.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,22833.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,24252.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,9913.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,10199.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,44797.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,8047.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,21433.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,10675.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,30021.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,31335.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,10034.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,9296.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,2324.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,6009.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,35787.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,2812.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,12157.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,17836.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,9813.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,10329.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,3575.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,17218.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,11557.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,5706.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,1992.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,793.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,18597.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,13390.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,6000.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,14945.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,8068.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,11786.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,2264.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,4928.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,6356.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,8962.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,1638.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,128.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,213.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,11098.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,101.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,9844.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,4415.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,5200.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,3907.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,21816.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,5744.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,7980.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,8978.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,6235.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,5281.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,613.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,2567.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,4955.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,8710.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,9361.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,1698.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,5021.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,5592.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,2848.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,14000.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,513.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,1031.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,26865.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,37.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,9163.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,31016.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,33437.0
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,7138.0
