Agency,Recipient,Description,Date,SAVED
USAID,KARNATAKA HEALTH PROMOTION TRUST,¿BREAKING THE BARRIERS¿ COMMUNITY ENGAGEMENT TO ACCELERATE TB ELIMINATION EFFORTS IN INDIA THROUGH SUSTAINED BEHAVIOUR CHANGE,3/1/2025,125623.0
INTERNATIONAL ASSISTANCE PROGRAMS,Actions Concertées pour le Développement Intégré des Baradères,No description available,3/4/2025,125390.0
DEPARTMENT OF AGRICULTURE,Tolowa Dee-ni’ Nation,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS TO EXPAND UPON PRIOR LOCAL FOOD PURCHASE ASSISTANCE PROGRAM WORK, AND TO PROVIDE AN OPPORTUNITY FOR STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS WHO DID NOT PARTICIPATE IN THE LOCAL FOOD PURCHASE ASSISTANCE PROGRAM TO ESTABLISH PROJECTS THROUGH LFPA25. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS WILL PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOMESTIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL TARGET DISTRIBUTION TO UNDERSERVED COMMUNITIES. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES), THE VALUE OF FOOD DISTRIBUTIONS TO DATE, AND THE NUMBER OF UNIQUE LOCATIONS DISTRIBUTING FOOD TO DATE. IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",-,125144.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,125114.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/15/2025,125114.0
DEPARTMENT OF STATE,COALESCION,GUIDE WB6 PARTNERS THROUGH THE DEVELOPMENT AND IMPLEMENTATION OF ACTIVITIES REQUIRED TO BRING THEIR REGULATIONS INTO ALIGNMENT WITH THE EUROPEAN UNION (EU) STANDARDS,2/26/2025,125069.05
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ND ST DEPT OF HUMAN SVCS,No description available,3/23/2025,125050.0
DEPARTMENT OF STATE,EQUAL ACCESS INTERNATIONAL,No description available,2/26/2025,125028.0
DEPARTMENT OF STATE,Centrum Edukacji Obywatelskiej Polska-Bialorus,No description available,2/26/2025,125000.0
DEPARTMENT OF STATE,Women in Sport Aotearoa Inc.,TO DELIVER A SPORTS MENTORSHIP PROGRAM FOR 14-20 EMERGING YOUNG PACIFIC LEADERS BASED ON THE U.S. DEPARTMENT OF STATE ESPN GLOBAL SPORTS MENTORING PROGRAM,2/26/2025,125000.0
DEPARTMENT OF STATE,UMAM D&R GGMBH,"PHYSICAL CONSERVATION, INVENTORY, AND DOCUMENTATION OF WRITTEN AND AUDIO-VISUAL ARCHIVAL MATERIALS BY STORING ARCHIVES AND DIGITAL CONSERVATION, INVENTORY, AND DOCUMENTATION OF ARCHIVAL MATERIALS AND INCREASING ACCESS TO ARCHIVAL MATERIALS.",2/26/2025,125000.0
HOUSING AND URBAN DEVELOPMENT,"Housing Opportunities Project for Excellence (HOPE), Inc.","PURPOSE: THE PROPOSED PROJECT REPRESENTS THE CONTINUATION OF A STATEWIDE FAIR HOUSING EDUCATION INITIATIVE TARGETING UNSERVED AND UNDERSERVED AREAS AND POPULATIONS ACROSS THE STATE. NEEDS ARE MET BY IDENTIFYING AREAS OF NEED IN FAIR HOUSING EDUCATION, DEVELOPMENT OF TRAINING CURRICULA IN RESPONSE, AND PROVIDED TRAINING IN NORTHERN, CENTRAL, AND SOUTHERN AREAS OF THE STATE; MAXIMIZING PARTICIPANT REACH AND OPPORTUNITY TO PARTICIPATE. THE TARGETED AREAS UNDER THE PROPOSED INITIATIVE ARE LEON COUNTY (TALLAHASSEE) IN NORTH FLORIDA; ALACHUA COUNTY (GAINESVILLE) IN NORTH/CENTRAL FLORIDA; POLK COUNTY (LAKELAND/WINTER HAVEN) IN CENTRAL FLORIDA; AND LEE COUNTY (FT. MYERS) AND COLLIER COUNTY (IMMOKALEE, A PROMISE ZONE AREA) IN SOUTHWEST FLORIDA. THE PROJECT IS DESIGNED TO REACH RURAL COMMUNITIES, COMMUNITIES OF COLOR, TRIBAL COMMUNITIES, MIGRANT FARM WORKER COMMUNITIES, PEOPLE WITH DISABILITIES, LGBTQ+, AND OTHER COMMUNITIES THAT HAVE ENDURED GENERATIONS OF DISCRIMINATION AND DISINVESTMENT.; ACTIVITIES TO BE PERFORMED: HOPE WILL CONDUCT FIVE FAIR HOUSING SYMPOSIUMS IN EACH TARGETED AREA OF THE STATE. THE TRAINING CURRICULUM FOR EACH EVENT WILL BE TAILED TO THE AUDIENCE AND DESIGNED TO ADDRESS STRATEGIES THAT AFFIRMATIVELY FURTHER FAIR HOUSING AND ARE CONSISTENT WITH THE IMPLEMENTATION OF HUD’S PROGRAMS. THE FOCUS INCLUDES, BUT IS NOT LIMITED TO, UPDATES ON AFFIRMATIVELY FURTHERING FAIR HOUSING REQUIREMENTS, EXECUTIVE ORDERS, AND OTHER HUD RULES, REGULATIONS, AND GUIDANCE; IN ADDITION TO COMPLIANCE WITH THE FAIR HOUSING ACT AND ALL CIVIL RIGHTS RELATED PROGRAM REQUIREMENTS; INCLUDING AFFIRMATIVELY FURTHERING FAIR HOUSING, THE VIOLENCE AGAINST WOMEN ACT, SECTION 504 OF THE REHABILITATION ACT OF 1973, TITLE II AND III OF THE AMERICANS WITH DISABILITIES ACT, AFFIRMATIVE LIMITED ENGLISH PROFICIENCY, EQUAL ACCESS, USE OF CRIMINAL RECORDS, USE OF HUD’S REASONABLE ACCOMMODATION INTERACTIVE TOOL, ADDRESSING THE EXACERBATION OF HOUSING INEQUALITIES AND RACIALLY DISCRIMINATORY HOUSING PRACTICES FOLLOWING NATURAL DISASTERS. THE TRAINING ALSO INCLUDES A DETAILED OVERVIEW OF THE INTENT AND PRINCIPLES OF ACCESSIBILITY LAWS AND ACCESSIBILITY COMPLIANCE FOR REMOVING PHYSICAL BARRIERS. INFORMATION REGARDING THE DEVELOPMENT OF NONDISCRIMINATION POLICIES AS IT PERTAINS TO PROGRAM/HOUSING BENEFICIARIES AND EMPLOYEES WILL ALSO BE PROVIDED TO TRAINING PARTICIPANTS. THE CURRICULUM WILL ALSO INCLUDE SPECIFIC BEST PRACTICE SUGGESTIONS AND WAYS TO IMPLEMENT THESE PRACTICES TO ENSURE APPROPRIATE UNDERTAKING OF ACTIVITIES DESIGNED TO ENSURE EQUAL OPPORTUNITY FOR ALL. THE PROGRAM WILL ALSO BE DESIGNED TO ASSIST COMMUNITY MEMBERS WITH INFORMATION THAT WILL GIVE THEM ACCESS TO HUD AND LOCAL FHAP ORGANIZATIONS FOR ENFORCEMENT ASSISTANCE. THE EVENTS WILL BE AFFIRMATIVELY MARKETED BROADLY THROUGHOUT THE TARGET AREAS TO DEMOGRAPHIC GROUPS THAT WOULD BE UNLIKELY OR LEAST LIKELY TO ATTEND. EXPECTED OUTCOMES: EXPECTED OUTCOME INCLUDE INCREASED NUMBERS OF PERSONS’ AWARENESS OF FAIR HOUSING LAWS AND EFFECTIVELY EDUCATING THE GENERAL PUBLIC; FOSTERED COMPLIANCE WITH FAIR HOUSING LAWS AND COMPLY WITH CIVIL RIGHTS-RELATED PROGRAM REQUIREMENTS; IMPROVED AND INCREASED ACCESS TO FEDERALLY FUNDED AND OTHER HOUSING PROGRAMS; EXPANSION OF AFFORDABLE RENTAL HOUSING OPPORTUNITIES FOR FAMILIES IN A BROAD RANGE OF COMMUNITIES; CAPACITY BUILDING AND KNOWLEDGE SHARING BY PROVIDING PUBLIC AND PRIVATE COMMUNITY AGENCIES AND HOUSING PROVIDERS WITH SUBSTANTIVE INFORMATION REGARDING BEST PRACTICES; INCREASED NUMBERS OF INDIVIDUALS WHO PARTICIPATE IN THE ADMINISTRATION OF HOUSING PROGRAMS AND HOUSING PROVIDERS RECEIVING INFORMATION ON FAIR HOUSING AND OTHER CIVIL RIGHTS RELATED PROGRAM REQUIREMENTS; AND STRENGTHENED PARTNERSHIPS FOR THE COORDINATION OF FAIR HOUSING EDUCATION AND ENFORCEMENT EFFORTS ACROSS THE STATE TO REACH THE TARGETED GROUP OF PARTICIPANTS, HOPE WILL PARTNER WITH THE FLORIDA COMMISSION ON HUMAN RELATIONS, A STATE FAIR HOUSING ASSISTANCE PROGRAM (FHAP) HEADQUARTERED IN TALLAHASSEE, FLORIDA (THE FLORIDA PANHANDLE). HOPE WILL UTILIZE ITS EXISTING PARTNERSHIPS WITH LOCAL AGENCIES AND ORGANIZATIONS TO REACH PARTICIPANTS IN THE SOUTH FLORIDA. HOPE WILL ENGAGE WITH HUD’S MIAMI FIELD OFFICE TO MAXIMIZE PARTICIPATION OF HUD FUNDING RECIPIENTS.; EXPECTED OUTCOMES: EXPECTED OUTCOME INCLUDE INCREASED NUMBERS OF PERSONS’ AWARENESS OF FAIR HOUSING LAWS AND EFFECTIVELY EDUCATING THE GENERAL PUBLIC; FOSTERED COMPLIANCE WITH FAIR HOUSING LAWS AND COMPLY WITH CIVIL RIGHTS-RELATED PROGRAM REQUIREMENTS; IMPROVED AND INCREASED ACCESS TO FEDERALLY FUNDED AND OTHER HOUSING PROGRAMS; EXPANSION OF AFFORDABLE RENTAL HOUSING OPPORTUNITIES FOR FAMILIES IN A BROAD RANGE OF COMMUNITIES; CAPACITY BUILDING AND KNOWLEDGE SHARING BY PROVIDING PUBLIC AND PRIVATE COMMUNITY AGENCIES AND HOUSING PROVIDERS WITH SUBSTANTIVE INFORMATION REGARDING BEST PRACTICES; INCREASED NUMBERS OF INDIVIDUALS WHO PARTICIPATE IN THE ADMINISTRATION OF HOUSING PROGRAMS AND HOUSING PROVIDERS RECEIVING INFORMATION ON FAIR HOUSING AND OTHER CIVIL RIGHTS RELATED PROGRAM REQUIREMENTS; AND STRENGTHENED PARTNERSHIPS FOR THE COORDINATION OF FAIR HOUSING EDUCATION AND ENFORCEMENT EFFORTS ACROSS THE STATE TO REACH THE TARGETED GROUP OF PARTICIPANTS, HOPE WILL PARTNER WITH THE FLORIDA COMMISSION ON HUMAN RELATIONS, A STATE FAIR HOUSING ASSISTANCE PROGRAM (FHAP) HEADQUARTERED IN TALLAHASSEE, FLORIDA (THE FLORIDA PANHANDLE). HOPE WILL UTILIZE ITS EXISTING PARTNERSHIPS WITH LOCAL AGENCIES AND ORGANIZATIONS TO REACH PARTICIPANTS IN THE SOUTH FLORIDA. HOPE WILL ENGAGE WITH HUD’S MIAMI FIELD OFFICE TO MAXIMIZE PARTICIPATION OF HUD FUNDING RECIPIENTS.; INTENDED BENEFICIARIES: THE INTENDED BENEFICIARIES OF THE PROPOSED PROJECT INCLUDE HOUSING PROVIDERS (MANAGEMENT COMPANIES), AFFORDABLE HOUSING PRACTITIONERS, PUBLIC HOUSING AGENCY EMPLOYEES, CIVIL/HUMAN RIGHTS INVESTIGATORS, COMMUNITY/ADVOCACY AGENCIES, AND THE GENERAL PUBLIC. TO REACH TARGETED AUDIENCE, HOPE WILL PARTNER WITH THE FLORIDA COMMISSION ON HUMAN RELATIONS, A STATE FAIR HOUSING ASSISTANCE PROGRAM (FHAP) HEADQUARTERED IN TALLAHASSEE, FLORIDA (NORTH FLORIDA) AND PARTNERSHIPS WITH LOCAL AGENCIES AND ORGANIZATIONS TO REACH PARTICIPANTS IN THE SOUTH FLORIDA. HOPE WILL CONTINUE TO ENGAGE WITH HUD’S MIAMI FIELD OFFICE TO MAXIMIZE PARTICIPATION OF HUD FUNDING RECIPIENTS AND PARTNERS BY UTILIZING ITS MAILING LIST TO MARKET THE TRAINING OPPORTUNITIES.; SUBRECIPIENT ACTIVITIES: NONE",2/27/2025,125000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",No description available,3/23/2025,125000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",No description available,3/23/2025,125000.0
DEPARTMENT OF STATE,EDUCATION FOR EMPLOYMENT,EDUCATION FOR EMPLOYMENT-US (EFE-US) PROPOSES THE STARTECH CLIMATE ACTION LAB (ST-CAL) PROJECT TO PROVIDE TUNISIAN YOUTH WHO ARE INTERESTED IN STARTING A BUSINESS FOCUSING ON CLIMATE ACTION WITH ENTREPRENEURSHIP AND SOFT SKILLS TRAINING.,2/26/2025,124999.92
HOUSING AND URBAN DEVELOPMENT,Disability Rights Texas,"PURPOSE: PURPOSE IN TEXAS, PARTICULARLY IN RURAL AREAS, THERE IS INSUFFICIENT STOCK OF AFFORDABLE, ACCESSIBLE, AND HABITABLE HOUSING. TEXANS ARE ENDURING WORSENING HOUSING INSTABILITY IN EXPONENTIAL NUMBERS AS A RESULT OF THE COMPOUNDING IMPACT OF COVID-19 ON HOUSING AFFORDABILITY, LOW HOUSING STOCK, AND OTHER FACTORS. THE PURPOSE OF THIS PROJECT IS TO ENSURE STABLE HOUSING AND BETTER HEALTH OUTCOMES FOR INDIVIDUALS LIVING IN ONE OF THE TARGETED 72 COUNTIES IN THE EAST TEXAS AREA, WHO ARE DISPROPORTIONATELY EXPERIENCING FAIR HOUSING DISCRIMINATION, SUBSTANDARD LIVING CONDITIONS, HOUSING INSTABILITY, INSTITUTIONALIZATION, AND HOMELESSNESS.; ACTIVITIES TO BE PERFORMED: ACTIVITIES AND TASKS TO BE PERFORMED WILL INCLUDE: 1. MAINTAIN HIGHLY TRAINED STAFF TO IMPLEMENT AND COMPLETE THE PROJECT. 2. FINALIZE AND IMPLEMENT A DETAILED OUTREACH PLAN THAT ADDRESSES UNDERSERVED COMMUNITIES IN THE TARGETED COUNTIES, TO EDUCATE AND ENHANCE KNOWLEDGE OF THE FAIR HOUSING ACT. 3. DEVELOP AND UPDATE MATERIALS, BROCHURES AND PRODUCE TRAINING CONTENT THAT IS AVAILABLE IN ALTERNATE, ACCESSIBLE FORMATS, “PLAIN LANGUAGE” AND IN LANGUAGES APPLICABLE TO COMMUNITIES IN THE PROJECT AREA AND SUBMIT TO HUD FOR REVIEW AND APPROVAL 4. OPERATE AN INTAKE PROCESS AND IMPLEMENT A REFERRAL PROCESS TO SUBMIT FAIR HOUSING COMPLAINTS TO HUD, OR A STATE OR LOCAL AGENCY OR A PRIVATE ATTORNEY. 5. CONDUCT AT LEAST 10 TRAININGS/PRESENTATIONS FOR ORGANIZATIONS, NONPROFITS, FAITH CENTERS, SERVICE ORGANIZATIONS, AND OTHER GROUPS SERVING UNDERREPRESENTED POPULATIONS TO EDUCATE ABOUT THE RIGHTS OF PERSONS TO FAIR HOUSING WITH AN EMPHASIS ON RACE, NATIONAL ORIGIN, AND DISABILITY AND THE INTERSECTION OF SAME. TRAINING ANNOUNCEMENTS WILL BE DISTRIBUTED, REGISTRATION & TRAINING IS HELD IN DIFFERENT GEOGRAPHIC AREAS, 600 PERSONS ARE REACHED AND TRAINED, AND 1,600 HANDOUTS ARE DISTRIBUTED. 6. CONDUCT 7 TRAININGS ON FAIR HOUSING AND PREDATORY LENDING TO PROMOTE SUSTAINABLE COMMUNITIES TO RELIGIOUS GROUPS AND OTHER GROUPS OR ORGANIZATIONS THAT SERVE HOMEOWNERS. THREE HUNDRED (300) PERSONS ARE REACHED AND TRAINED, AND 1,000 HANDOUTS ARE DISTRIBUTED. 6. DELIVER 4 WEBINARS AND 3 SOCIAL MEDIA EVENTS ON FHA RIGHTS AND OBLIGATIONS. 7. DEVELOP AND IMPLEMENT PARTICIPANT SURVEYS TO ASSESS KNOWLEDGE GAIN ARE DISTRIBUTED AND COLLECTED FROM TRAINING PARTICIPANTS. 8. DISTRIBUTE 3 FAIR HOUSING PUBLIC SERVICE ANNOUNCEMENTS TO 10 REGIONALLY BASED RADIO AND PRINT MEDIA OUTLETS. LIST OF MEDIA OUTLETS AND SOCIAL MEDIA SITES IS DEVELOPED. DATA IS COLLECTED ON INFORMATION DISTRIBUTION AND MEDIA PLACEMENT OF INFORMATION, INCLUDING ON ITS WEBSITE AND “LIKES” ON SOCIAL MEDIA SITES. PROJECT INFORMATION IS POSTED ON MULTIPLE SOCIAL MEDIA SITES.. PROVIDE INFORMATION AND SELF-ADVOCACY TOOLS TO FILE ADMINISTRATIVE COMPLAINTS. UPDATE AS NEEDED, A COMPLAINT-GENERATOR TOOL, THAT WILL ASSIST INDIVIDUALS TO FILE HUD COMPLAINTS FOR VIOLATIONS OF THE FHA. 11. PROMOTE TOLL-FREE LINE TO RECEIVE QUESTIONS OR COMPLAINTS ABOUT VIOLATION OF FAIR HOUSING OR HOUSING DISCRIMINATION. TOLL-FREE LINE IS OPERATING AND HOURS OF OPERATION ARE ADVERTISED. EDUCATE PEOPLE SO THEY CAN UTILIZE THE TOLL-FREE LINE TO ASK QUESTIONS AND GET GUIDANCE REGARDING FAIR HOUSING DISCRIMINATION WITH ADVICE PROVIDED ON FILING HUD OR OTHER APPROPRIATE ADMINISTRATIVE COMPLAINTS. 12. FORTY-FIVE (45) REFERRALS OF NON-FAIR HOUSING ISSUES WILL BE MADE TO COMMUNITY ORGANIZATIONS PROVIDING HOUSING SERVICES. 13. PREPARE AND SUBMIT REQUIRED FISCAL AND PROGRAMMATIC REPORTS. CONDUCT CONTINUOUS EVALUATION TO TRACK PROGRESS ON DELIVERABLES AND OUTCOMES, AND ADJUST PROCESSES AND ACTIVITIES AS NEEDED TO IMPROVE EFFICIENCY AND EFFECTIVENESS OF THE PROJECT. C. EXPECTED OUTCOMES THE PROJECT EXPECTS THAT INDIVIDUALS WILL KNOW AND UNDERSTAND THEIR RIGHTS AND OBLIGATIONS UNDER THE FAIR HOUSING ACT AND THAT THEIR RIGHTS WILL BE PROTECTED, AND THAT THEY WILL HAVE GREATER HOUSING STABILITY. THE PROJECT ALSO EXPECTS TO ADDRESS THE LACK OF PUBLIC EDUCATION AND AWARENESS OF THE PROVISIONS OF THE FAIR HOUSING ACT (FHA) AND ITS ENFORCEMENT MECHANISMS, IN THE 72 COUNTIES THAT ARE TARGETED.; EXPECTED OUTCOMES: EXPECTED OUTCOMES THE PROJECT EXPECTS THAT INDIVIDUALS WILL KNOW AND UNDERSTAND THEIR RIGHTS AND OBLIGATIONS UNDER THE FAIR HOUSING ACT AND THAT THEIR RIGHTS WILL BE PROTECTED, AND THAT THEY WILL HAVE GREATER HOUSING STABILITY. THE PROJECT ALSO EXPECTS TO ADDRESS THE LACK OF PUBLIC EDUCATION AND AWARENESS OF THE PROVISIONS OF THE FAIR HOUSING ACT (FHA) AND ITS ENFORCEMENT MECHANISMS, IN THE 72 COUNTIES THAT ARE TARGETED. TO THAT END, THE PROJECT OUTCOMES INCLUDE: 1. FULLY TRAINED PROJECT STAFF WILL IMPLEMENT AND COMPLETE THE PROJECT. 2. A DETAILED OUTREACH PLAN IS IMPLEMENTED. 3. ACCURATE AND RELIABLE TRAINING CONTENT AND MATERIALS ARE DEVELOPED AND PROVIDED TO PROJECT PARTICIPANTS. 4. A USER-FRIENDLY INTAKE AND REFERRAL PROCESS IS AVAILABLE TO PROJECT PARTICIPANTS TO SUBMIT FAIR HOUSING COMPLAINTS TO HUD. 5. 45 REFERRALS OF NON-FAIR HOUSING ISSUES TO APPROPRIATE COMMUNITY SERVICE ORGANIZATIONS. 6. INDIVIDUALS AND COMMUNITIES IN THE TARGET AREAS RECEIVE TRAINING ANNOUNCEMENTS AND INFORMATION ABOUT OUTREACH EVENTS. 7. 600 PERSONS ARE TRAINED AT 10 IN-PERSON TRAINING EVENTS, AND THOSE PARTICIPANTS BETTER UNDERSTAND THEIR RIGHTS UNDER THE FHA AND HOW TO ENFORCE THEIR RIGHTS. 8. 1,600 HANDOUTS ON FAIR HOUSING ARE DISTRIBUTED. 9. ONLINE AND VIRTUAL TRAINING OPPORTUNITIES ON FHA RIGHTS AND OBLIGATIONS ARE AVAILABLE THROUGH WEBINARS AND SOCIAL MEDIA EVENTS. 10. PROJECT PARTICIPANT SURVEYS REFLECT KNOWLEDGE GAIN ABOUT FHA RIGHTS AND OBLIGATIONS. 11. FAITH-BASED COMMUNITY CENTERS PARTICIPATE IN PROJECT OUTREACH EVENTS. 12. PUBLIC SERVICE ANNOUNCEMENTS ARE MADE AVAILABLE TO REGIONALLY BASED RADIO AND PRINT MEDIA OUTLETS. 13. SOCIAL MEDIA POSTS ABOUT PROJECT TRAINING OPPORTUNITIES ARE PLACED ON DRTX SOCIAL MEDIA PLATFORMS AND REACH IS INCREASED FOR FAIR HOUSING INFORMATION. 14. LOCAL PARTNER ORGANIZATIONS ENGAGE IN THE PROJECT BY POSTING INFORMATION ON THEIR SOCIAL MEDIA SITE. 15. A COMPLAINT GENERATOR TOOL IS USED BY 500 INDIVIDUALS TO SUBMIT ADMINISTRATIVE COMPLAINTS FOR VIOLATIONS OF FAIR HOUSING. 16. FORTY-FIVE (45) REFERRALS OF NON-FAIR HOUSING ISSUES WILL BE MADE TO COMMUNITY ORGANIZATIONS PROVIDING HOUSING SERVICES. THE EFFECTIVENESS OF THE PROJECT WILL BE ASSESSED AND DETERMINED THROUGH A ROBUST EVALUATION PROCESS. D. INTENDED BENEFICIARIES THIS PROJECT INTENDS TO ASSIST INDIVIDUALS WHO BELIEVE THAT THEY HAVE BEEN VICTIMS OF HOUSING DISCRIMINATION. THE PROJECT WILL FOCUS ON OUTREACH AND TRAINING TO UNDERSERVED POPULATIONS IN UNDERSERVED AREAS IN 72 COUNTIES IN THE EAST TEXAS AREA, WHO ARE DISPROPORTIONATELY EXPERIENCING HOUSING DISCRIMINATION, SUBSTANDARD LIVING CONDITIONS, HOUSING INSTABILITY, INSTITUTIONALIZATION, AND HOMELESSNESS.; INTENDED BENEFICIARIES: THE PROJECT WILL FOCUS ON OUTREACH AND TRAINING TO UNDERSERVED POPULATIONS IN UNDERSERVED AREAS IN 72 COUNTIES IN THE EAST TEXAS AREA, WHO ARE DISPROPORTIONATELY EXPERIENCING HOUSING DISCRIMINATION, SUBSTANDARD LIVING CONDITIONS, HOUSING INSTABILITY, INSTITUTIONALIZATION, AND HOMELESSNESS. PROJECT SERVICES AND ACTIVITIES ARE AVAILABLE TO ALL MEMBERS OF ALL PROTECTED CLASS GROUPS. UNDERSERVED BENEFICIARIES INCLUDE INDIVIDUALS WHO MEET THE DEFINITION OF UNDERSERVED POPULATIONS, WHICH MAY INCLUDE PERSONS WHO BELONG TO RACIAL OR ETHNIC MINORITIES, THOSE WHO ARE NON-ENGLISH SPEAKING OR HAVE LIMITED ENGLISH PROFICIENCY, RELIGIOUS MINORITIES, THOSE WHO LIVE IN A RURAL AREA, THOSE WHO ARE HOMELESS OR EXPERIENCING HOUSING INSTABILITY, PERSONS WITH DISABILITIES INCLUDING THOSE LEAVING INSTITUTIONS OR AT RISK OF INSTITUTIONALIZATION, PERSONS EXPERIENCING PERSISTENT POVERTY, THOSE WHO IDENTIFY AS LGBTQ+ PERSONS, INDIGENOUS AND NATIVE AMERICAN PERSONS OR THOSE WHOSE HOUSING STABILITY HAS BEEN IMPACTED BY THE COVID-19 PANDEMIC; SUBRECIPIENT ACTIVITIES: NONE",2/27/2025,124988.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ND ST DEPT OF HUMAN SVCS,No description available,3/23/2025,124898.0
DEPARTMENT OF STATE,Udruzenje gradjana Nesto vise,INCREASING THE EMPLOYABILITY OF PEOPLE WITH DISABILITIES THROUGH CYBER SECURITY EDUCATION,2/26/2025,124890.0
DEPARTMENT OF STATE,BEN-GURION UNIVERSITY OF THE NEGEV,No description available,2/26/2025,124763.85
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PUBLIC HEALTH FOUNDATION (THE),No description available,3/23/2025,124699.0
DEPARTMENT OF STATE,AMERICAN RESEARCH CENTER IN EGYPT,No description available,2/26/2025,124653.56
DEPARTMENT OF STATE,Fundacja Solidarnosci Miedzynarodowej (Solidarity Fund PL),No description available,2/26/2025,124340.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/15/2025,124196.0
DEPARTMENT OF STATE,CENTER FOR INTERNATIONAL PRIVATE ENTERPRISE,No description available,2/26/2025,124025.65
DEPARTMENT OF STATE,Kosovo Law Institute (KLI),THIS PROJECT AIMS TO INCREASE CITIZEN DEMAND FOR JUSTICE AND IMPROVE LEGAL AWARENESS IN KOSOVO.,2/26/2025,123811.51
DEPARTMENT OF STATE,Charities Aid Foundation Southern Africa,No description available,2/26/2025,123724.31
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ND ST DEPT OF HUMAN SVCS,No description available,3/23/2025,123548.0
DEPARTMENT OF STATE,Tarmeem Center for The Preservation of Heritage,"CONSERVATION OF THE 8TH CENTURY UMAYYAD QASR ALMSHATTA MSHATTA PALACE NEAR AMMAN, PHASE 2.",2/26/2025,123500.0
HOUSING AND URBAN DEVELOPMENT,Cloudburst Consulting Group,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,123201.0
DEPARTMENT OF STATE,NGO AKTIV,THE OVERRIDING OBJECTIVE OF THE PROJECT IS TO ENHANCE THE DEPTH AND QUALITY OF THE PARTICIPATION OF CITIZENS PARTICIPATION IN DECISION-MAKING PROCESS AT THE SERB MAJORITY MUNICIPALITIES IN KOSOVO.,2/26/2025,122842.8
DEPARTMENT OF HEALTH AND HUMAN SERVICES,THE CHEROKEE NATION,No description available,3/23/2025,122833.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Yerbabuena,No description available,3/4/2025,122684.0
DEPARTMENT OF STATE,BALKANSKA ISTRAZIVACKA MREZA-CRNA GORA,"THIS PROJECT AIMS TO BRIDGE THE GAP BETWEEN CITIZENS, CSOS, JOURNALISTS AND PUBLIC INSTITUTIONS AND ENABLE THEM TO WORK TOGETHER TO IDENTIFY, REPORT ON AND ROOT OUT POLITICAL EMPLOYMENTS AND MISUSE OF PUBLIC FUNDS, THUS REDUCING PUBLIC CORRUPTION IN MNE",2/26/2025,122128.81
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/15/2025,122128.61
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DENVER HEALTH AND HOSPITAL AUTHORITY,No description available,3/23/2025,121992.95
INTERNATIONAL ASSISTANCE PROGRAMS,"Escuela de Integración, Formación deportiva, Expresión Artística y Desarrollo Laboral",No description available,3/4/2025,121750.0
